Year	Description	Batch ID	Stage	Tissue	Code
2013	Leaf_N22 Control FL_End of stress	14054if_38	FL	Flag leaf	FLFNC
2013	Leaf_N22 Control FL_End of stress	14061if_27	FL	Flag leaf	FLFNC
2013	Leaf_N22 Control FL_End of stress	14069if_20	FL	Flag leaf	FLFNC
2013	Leaf_N22 Control FL_End of stress	14079if_60	FL	Flag leaf	FLFNC
2013	Leaf_N22 Control FL_End of stress	14088if_45	FL	Flag leaf	FLFNC
2013	Leaf_N22 Heat & drought EGF_00d_Start of stress	14054if_31	FL	Flag leaf	FLFNES
2013	Leaf_N22 Heat & drought EGF_00d_Start of stress	14061if_20	FL	Flag leaf	FLFNES
2013	Leaf_N22 Heat & drought EGF_00d_Start of stress	14069if_13	FL	Flag leaf	FLFNES
2013	Leaf_N22 Heat & drought EGF_00d_Start of stress	14079if_53	FL	Flag leaf	FLFNES
2013	Leaf_N22 Heat & drought EGF_00d_Start of stress	14088if_38	FL	Flag leaf	FLFNES
2013	Leaf_N22 Heat & drought FL_End of stress	14054if_9	FL	Flag leaf	FLFNLS
2013	Leaf_N22 Heat & drought FL_End of stress	14057if_47	FL	Flag leaf	FLFNLS
2013	Leaf_N22 Heat & drought FL_End of stress	14064if_40	FL	Flag leaf	FLFNLS
2013	Leaf_N22 Heat & drought FL_End of stress	14079if_31	FL	Flag leaf	FLFNLS
2013	Leaf_N22 Heat & drought FL_End of stress	14088if_16	FL	Flag leaf	FLFNLS
2013	Leaf_Dular Control FL_End of stress	14050if_31	FL	Flag leaf	FLFDC
2013	Leaf_Dular Control FL_End of stress	14057if_16	FL	Flag leaf	FLFDC
2013	Leaf_Dular Control FL_End of stress	14064if_9	FL	Flag leaf	FLFDC
2013	Leaf_Dular Control FL_End of stress	14069if_50	FL	Flag leaf	FLFDC
2013	Leaf_Dular Control FL_End of stress	14084if_35	FL	Flag leaf	FLFDC
2013	Leaf_Dular Heat & drought EGF_00d_Start of stress	14050if_24	FL	Flag leaf	FLFDES
2013	Leaf_Dular Heat & drought EGF_00d_Start of stress	14057if_9	FL	Flag leaf	FLFDES
2013	Leaf_Dular Heat & drought EGF_00d_Start of stress	14061if_50	FL	Flag leaf	FLFDES
2013	Leaf_Dular Heat & drought EGF_00d_Start of stress	14069if_43	FL	Flag leaf	FLFDES
2013	Leaf_Dular Heat & drought EGF_00d_Start of stress	14084if_28	FL	Flag leaf	FLFDES
2013	Leaf_Dular Heat & drought FL_End of stress	14054if_39	FL	Flag leaf	FLFDLS
2013	Leaf_Dular Heat & drought FL_End of stress	14061if_28	FL	Flag leaf	FLFDLS
2013	Leaf_Dular Heat & drought FL_End of stress	14069if_21	FL	Flag leaf	FLFDLS
2013	Leaf_Dular Heat & drought FL_End of stress	14084if_7	FL	Flag leaf	FLFDLS
2013	Leaf_Dular Heat & drought FL_End of stress	14088if_46	FL	Flag leaf	FLFDLS
2013	Leaf_Anjali Control FL_End of stress	14054if_8	FL	Flag leaf	FLFAC
2013	Leaf_Anjali Control FL_End of stress	14057if_46	FL	Flag leaf	FLFAC
2013	Leaf_Anjali Control FL_End of stress	14064if_39	FL	Flag leaf	FLFAC
2013	Leaf_Anjali Control FL_End of stress	14079if_30	FL	Flag leaf	FLFAC
2013	Leaf_Anjali Control FL_End of stress	14088if_15	FL	Flag leaf	FLFAC
2013	Leaf_Anjali Heat & drought EGF_00d_Start of stress	14050if_54	FL	Flag leaf	FLFAES
2013	Leaf_Anjali Heat & drought EGF_00d_Start of stress	14057if_39	FL	Flag leaf	FLFAES
2013	Leaf_Anjali Heat & drought EGF_00d_Start of stress	14064if_32	FL	Flag leaf	FLFAES
2013	Leaf_Anjali Heat & drought EGF_00d_Start of stress	14079if_23	FL	Flag leaf	FLFAES
