Class	Name	MPIMP-ID	Spikelet-Control -Flowering-N22	Spikelet-Control -Flowering-N22	Spikelet-Control -Flowering-N22	Spikelet-Control -Flowering-N22	Spikelet-Control -Flowering-N22	Spikelet-Heat & Drought-EGF Start of stress-N22	Spikelet-Heat & Drought-EGF Start of stress-N22	Spikelet-Heat & Drought-EGF Start of stress-N22	Spikelet-Heat & Drought-EGF Start of stress-N22	Spikelet-Heat & Drought-EGF Start of stress-N22	Spikelet-Heat & Drought-FL End of stress-N22	Spikelet-Heat & Drought-FL End of stress-N22	Spikelet-Heat & Drought-FL End of stress-N22	Spikelet-Heat & Drought-FL 12h Rewatering-N22	Spikelet-Heat & Drought-FL 12h Rewatering-N22	Spikelet-Heat & Drought-FL 12h Rewatering-N22	Spikelet-Heat & Drought-FL 12h Rewatering-N22	Spikelet-Heat & Drought-FL 36h Rewatering-N22	Spikelet-Heat & Drought-FL 36h Rewatering-N22	Spikelet-Heat & Drought-FL 36h Rewatering-N22	Spikelet-Heat & Drought-FL 36h Rewatering-N22	Spikelet-Heat & Drought-FL 60h Rewatering-N22	Spikelet-Heat & Drought-FL 60h Rewatering-N22	Spikelet-Heat & Drought-FL 60h Rewatering-N22	Spikelet-Control -Flowering-Dular	Spikelet-Control -Flowering-Dular	Spikelet-Control -Flowering-Dular	Spikelet-Control -Flowering-Dular	Spikelet-Control -Flowering-Dular	Spikelet-Heat & Drought-EGF Start of stress-Dular	Spikelet-Heat & Drought-EGF Start of stress-Dular	Spikelet-Heat & Drought-EGF Start of stress-Dular	Spikelet-Heat & Drought-EGF Start of stress-Dular	Spikelet-Heat & Drought-EGF Start of stress-Dular	Spikelet-Heat & Drought-FL End of stress-Dular	Spikelet-Heat & Drought-FL End of stress-Dular	Spikelet-Heat & Drought-FL End of stress-Dular	Spikelet-Heat & Drought-FL End of stress-Dular	Spikelet-Heat & Drought-FL End of stress-Dular	Spikelet-Heat & Drought-FL 12h Rewatering-Dular	Spikelet-Heat & Drought-FL 12h Rewatering-Dular	Spikelet-Heat & Drought-FL 12h Rewatering-Dular	Spikelet-Heat & Drought-FL 12h Rewatering-Dular	Spikelet-Heat & Drought-FL 12h Rewatering-Dular	Spikelet-Heat & Drought-FL 36h Rewatering-Dular	Spikelet-Heat & Drought-FL 36h Rewatering-Dular	Spikelet-Heat & Drought-FL 36h Rewatering-Dular	Spikelet-Heat & Drought-FL 36h Rewatering-Dular	Spikelet-Heat & Drought-FL 36h Rewatering-Dular	Spikelet-Heat & Drought-FL 60h Rewatering-Dular	Spikelet-Heat & Drought-FL 60h Rewatering-Dular	Spikelet-Heat & Drought-FL 60h Rewatering-Dular	Spikelet-Heat & Drought-FL 60h Rewatering-Dular	Spikelet-Heat & Drought-FL 60h Rewatering-Dular	Spikelet-Control -Flowering-Anjali	Spikelet-Control -Flowering-Anjali	Spikelet-Control -Flowering-Anjali	Spikelet-Control -Flowering-Anjali	Spikelet-Control -Flowering-Anjali	Spikelet-Heat & Drought-EGF Start of stress-Anjali	Spikelet-Heat & Drought-EGF Start of stress-Anjali	Spikelet-Heat & Drought-EGF Start of stress-Anjali	Spikelet-Heat & Drought-EGF Start of stress-Anjali	Spikelet-Heat & Drought-EGF Start of stress-Anjali	Spikelet-Heat & Drought-FL End of stress-Anjali	Spikelet-Heat & Drought-FL End of stress-Anjali	Spikelet-Heat & Drought-FL End of stress-Anjali	Spikelet-Heat & Drought-FL End of stress-Anjali	Spikelet-Heat & Drought-FL End of stress-Anjali	Spikelet-Heat & Drought-FL 12h Rewatering-Anjali	Spikelet-Heat & Drought-FL 12h Rewatering-Anjali	Spikelet-Heat & Drought-FL 12h Rewatering-Anjali	Spikelet-Heat & Drought-FL 12h Rewatering-Anjali	Spikelet-Heat & Drought-FL 12h Rewatering-Anjali	Spikelet-Heat & Drought-FL 36h Rewatering-Anjali	Spikelet-Heat & Drought-FL 36h Rewatering-Anjali	Spikelet-Heat & Drought-FL 36h Rewatering-Anjali	Spikelet-Heat & Drought-FL 36h Rewatering-Anjali	Spikelet-Heat & Drought-FL 36h Rewatering-Anjali	Spikelet-Heat & Drought-FL 60h Rewatering-Anjali	Spikelet-Heat & Drought-FL 60h Rewatering-Anjali	Spikelet-Heat & Drought-FL 60h Rewatering-Anjali	Spikelet-Heat & Drought-FL 60h Rewatering-Anjali	Spikelet-Heat & Drought-FL 60h Rewatering-Anjali
Acids	Malic acid, 2-methyl-	A148001-101															6.707196497			4.44010633							5.014511254		3.278473186					2.583553727	5.821659746	4.53013158				12.02714195											5.871294335	7.417041015	3.611974488						5.073071887		9.137161084				2.844271166				4.500299323			4.586138591				5.579497659		3.97827739		5.90374816	4.117011189	4.899374772		4.421458761		
Acids	Malic acid, 1-methylester	A139020-101															1.26050067		0.922472757							0.909687535									0.798401862						0.810789464						0.648842836					0.762622407	0.872301708	1.168424792	1.017023955	1.073611505																														
Acids	Oxalic acid	A113002-101																																																																																				
Acids	Pyruvic acid	A104002-101	0.75773575	0.353563762	2.453523095	0.457508978	2.04735761	3.316677905	0.869520661	2.317815809	1.037266745	1.435255145	1.960163647	0.783097528	2.231108662	2.340992714	4.322879378	1.719748843	3.411227235	2.150388346	1.898999543	3.406762549	2.620477231	1.703055414	3.611907392	3.600707559	1.756068701	1.318250275	0.893698599	0.415348638	1.906004649	0.918800958	0.907915331	0.623908471	2.944932961	1.405631116	1.966287686	3.089544104	0.997252421	0.883486868	2.217235216	2.233718351	0.719192013	2.826369244	0.5433691	2.543442979	2.403832963	2.151882258	0.722496447	0.36619003	2.956087649	3.497327015	2.905342051	2.629298551	3.041272127	4.062222121	1.85318436	1.656831702	2.102745977	1.123721366	1.007447221	1.489046919	1.446218006		1.69050261	1.738546137	0.971972921	4.001374046	2.826139854	2.983270973	4.159274934	2.826036794	0.828047869	2.534549615	0.653111845	2.869218304	1.877184829	2.147102714	0.732490077	3.307844062	2.779735271	3.149179614	1.334814385	1.476379028	2.159588916	1.939147045
Acids	Quinic acid	A185001-101	1.158098517				1.292902772																		1.113639358																											0.985020721					2.043809065	1.229731839	1.524047588	2.825318085	1.575117546		0.695266344		0.849563086				1.121845044			1.532919644	1.019413523	1.820530876		2.35864885	1.531414061	1.291724917	1.023740305	2.23879106	1.838204772	1.296136608	1.459508051	1.19972484		1.657578933
Acids	Salicylic acid	A152003-101	3.024874553	7.523150266	5.637566558	7.754191222	4.44392788	5.179999907	9.723216233	3.302959236	9.051350736	5.838911399	3.399988488	6.60690566	3.983355238	7.408387217	6.321507093	6.554332366	3.648545701	1.645071171	1.427299969	3.018592013	4.110178895	4.992609231	4.606642307	6.320770648	4.70506126	3.757859921	5.059647383	8.341973591	6.152267279	4.457414241	4.240821731	2.582439651	4.476830848	4.864864918	4.32805366	2.714413383	5.242983652		6.456327381	3.231178925	4.116131673	3.467892788	6.223525124	3.911725763	1.592755862	1.804010869	4.557617003	3.440816097	2.13873068	3.33727918	1.606683085	3.493285304	2.768052405	8.21570093	6.808264707	8.444240844	8.088802279	28.77582146	7.15948643	8.338158516	3.969309283	254.6954452	7.748058796	5.59735667	4.444626085	7.8102835	8.903842394	8.945166176	7.084255159	3.003069696	8.577667333	5.994595026	5.366452795	6.78305781	8.72249609	4.241734969	8.635395436	6.575452287	3.861514052	5.253940625	4.613947658	10.81902194	9.993706083	8.452600229
Acids	Succinic acid	A134001-101	2.463265705	1.521624113	4.861466108	3.082609722	6.78800663	4.521226765	4.033171768	6.647301626	8.370811898	4.947863128	4.42900356	4.117816263	5.913573103	4.836654752	6.337027904	4.273078998	6.446983713	2.436225765	3.103012226	6.823953162	6.691370542	3.938567452	6.359406762	8.414348853	1.801170167	2.455963953	4.175651599	2.258796749	4.047297069	1.674043393	2.577658696	2.422049203	4.269764002	3.600700388	0.42223712	3.851058719	4.38195395	3.265207693	4.744072289	1.322408589	1.45495603	3.903642178	3.907013504	4.605758876	1.5106576	4.906379237	2.693953724	1.507176378	6.286687236	2.964388127	4.7323587	5.319776358	3.763651446	7.895046507	0.605237809	3.300108187	4.723074469	3.883581156	5.046127082	3.724247252	4.386620517	3.946304372	7.867095711	4.02600254	3.995124106	7.530651372	8.571887609	9.782609982	6.776320567	2.415582108	2.085410088	4.974942156	5.391653188	7.225398743	4.190114991	4.634766332	4.719891045	6.809478967	7.814658656	2.990775032	4.728100021	4.38353852	1.958282086	6.601179327
Acids	Succinic semialdehyde	A117007-101						6.179348783																											7.244926735			9.88487059			6.9606218							8.50887399			11.55083424	9.533784319	6.305393108																																	
Acids	Valeric acid, 2-oxo-	A113006-101	4.014427103	4.808440661	5.378512345	4.131887984	4.825087361	4.446805092	4.444551677	4.309458129	4.695941706	3.427298519	4.719391368	4.397151028	4.175610557	7.640719276	3.717300167	4.341569123	5.442772949	4.664033942	4.364328621	5.05281492	7.048077945	3.947900987	4.582402235	5.129947105	5.833200852	3.35345559	4.006933238	3.929623893	4.948674809	5.385240249	3.647588453	4.733176317	3.340595745	3.381599979	5.910826975	6.353893688	2.916076577	5.849850271	4.72132177	4.519889998	2.449532319	3.949715708	4.688256978	4.818732213	2.895770397	4.286179045	3.966930942	7.721703889	4.999369567	7.41389082	3.203275944	4.860724016	4.176564074	5.367668399	5.570599061	5.553253722	5.908664769	9.081449722	3.364700645	4.926650985	3.368747892	109.932282	4.539992191	3.806023112	2.565714188	4.529298916	3.94409572	5.851428799	3.439197644	5.160707661	3.855403961	4.037078391	3.316369449	3.265395997	3.659237586	3.594594384	4.155567681	3.329643803	6.671920469	5.31367428	3.539448353	4.524879929	8.038461682	4.609393574
Acids	Vanillic acid	A178004-101		1.041397135			2.014856188	1.699838354	1.249229961	2.649637998						3.167676821		1.203618539	2.989999152			1.616096602	2.476945546	1.213424039	1.873078291	1.425708055	5.25368787	1.747531544	2.125533402		2.261710852	1.951785953	1.603637508	1.835132004	2.946661735	2.19591437	3.955274831	2.512708269	0.994359322		1.9169709	2.023153053	1.517429754	1.842540633		2.244877098	1.463368213	2.749755829			4.01303491	5.848345087	2.076681257	2.365683876	1.625452754	2.989201678			1.553136975	3.134140358			1.296546745		1.126360973			1.608779222	1.646977528	3.440524257			1.267573987			1.824160213	1.356441584	1.433145039		1.967172306	2.497585714	3.535059616	1.182135162	1.400757494		1.561814477
