ID	Treatment	Timepoint	Cultivar	Description	Code	Batch	Sequence
14054if_17	Control	EGF Late stress	N22	Spikelet_N22 Control EGF_10d_End of stress	GNCLS	14054if	17
14057if_55	Control	EGF Late stress	N22	Spikelet_N22 Control EGF_10d_End of stress	GNCLS	14057if	55
14064if_48	Control	EGF Late stress	N22	Spikelet_N22 Control EGF_10d_End of stress	GNCLS	14064if	48
14079if_39	Control	EGF Late stress	N22	Spikelet_N22 Control EGF_10d_End of stress	GNCLS	14079if	39
14088if_24	Control	EGF Late stress	N22	Spikelet_N22 Control EGF_10d_End of stress	GNCLS	14088if	24
14050if_42	Control	EGF 12h Rewatering	N22	Spikelet_N22 Control EGF_12h_ Rewatering	GNC12	14050if	42
14057if_27	Control	EGF 12h Rewatering	N22	Spikelet_N22 Control EGF_12h_ Rewatering	GNC12	14057if	27
14064if_20	Control	EGF 12h Rewatering	N22	Spikelet_N22 Control EGF_12h_ Rewatering	GNC12	14064if	20
14079if_11	Control	EGF 12h Rewatering	N22	Spikelet_N22 Control EGF_12h_ Rewatering	GNC12	14079if	11
14084if_46	Control	EGF 12h Rewatering	N22	Spikelet_N22 Control EGF_12h_ Rewatering	GNC12	14084if	46
14050if_44	Control	EGF 36h Rewatering	N22	Spikelet_N22 Control EGF_36h_ Rewatering	GNC36	14050if	44
14057if_29	Control	EGF 36h Rewatering	N22	Spikelet_N22 Control EGF_36h_ Rewatering	GNC36	14057if	29
14064if_22	Control	EGF 36h Rewatering	N22	Spikelet_N22 Control EGF_36h_ Rewatering	GNC36	14064if	22
14079if_13	Control	EGF 36h Rewatering	N22	Spikelet_N22 Control EGF_36h_ Rewatering	GNC36	14079if	13
14084if_48	Control	EGF 36h Rewatering	N22	Spikelet_N22 Control EGF_36h_ Rewatering	GNC36	14084if	48
14054if_23	Control	EGF 60h Rewatering	N22	Spikelet_N22 Control EGF_60h_ Rewatering	GNC60	14054if	23
14061if_12	Control	EGF 60h Rewatering	N22	Spikelet_N22 Control EGF_60h_ Rewatering	GNC60	14061if	12
14064if_54	Control	EGF 60h Rewatering	N22	Spikelet_N22 Control EGF_60h_ Rewatering	GNC60	14064if	54
14079if_45	Control	EGF 60h Rewatering	N22	Spikelet_N22 Control EGF_60h_ Rewatering	GNC60	14079if	45
14088if_30	Control	EGF 60h Rewatering	N22	Spikelet_N22 Control EGF_60h_ Rewatering	GNC60	14088if	30
14050if_41	Heat & drought	EGF Late stress	N22	Spikelet_N22 Heat & drought EGF_10d_End of stress	GNLS	14050if	41
14057if_26	Heat & drought	EGF Late stress	N22	Spikelet_N22 Heat & drought EGF_10d_End of stress	GNLS	14057if	26
14064if_19	Heat & drought	EGF Late stress	N22	Spikelet_N22 Heat & drought EGF_10d_End of stress	GNLS	14064if	19
14069if_60	Heat & drought	EGF Late stress	N22	Spikelet_N22 Heat & drought EGF_10d_End of stress	GNLS	14069if	60
14084if_45	Heat & drought	EGF Late stress	N22	Spikelet_N22 Heat & drought EGF_10d_End of stress	GNLS	14084if	45
14054if_20	Heat & drought	EGF 12h Rewatering	N22	Spikelet_N22 Heat & drought EGF Rewatering 12h	GNR12	14054if	20
14061if_9	Heat & drought	EGF 12h Rewatering	N22	Spikelet_N22 Heat & drought EGF Rewatering 12h	GNR12	14061if	9
14064if_51	Heat & drought	EGF 12h Rewatering	N22	Spikelet_N22 Heat & drought EGF Rewatering 12h	GNR12	14064if	51
14079if_42	Heat & drought	EGF 12h Rewatering	N22	Spikelet_N22 Heat & drought EGF Rewatering 12h	GNR12	14079if	42
14088if_27	Heat & drought	EGF 12h Rewatering	N22	Spikelet_N22 Heat & drought EGF Rewatering 12h	GNR12	14088if	27
14050if_15	Heat & drought	EGF 36h Rewatering	N22	Spikelet_N22 Heat & drought EGF Rewatering 36h	GNR36	14050if	15
14054if_52	Heat & drought	EGF 36h Rewatering	N22	Spikelet_N22 Heat & drought EGF Rewatering 36h	GNR36	14054if	52
14061if_41	Heat & drought	EGF 36h Rewatering	N22	Spikelet_N22 Heat & drought EGF Rewatering 36h	GNR36	14061if	41
14069if_34	Heat & drought	EGF 36h Rewatering	N22	Spikelet_N22 Heat & drought EGF Rewatering 36h	GNR36	14069if	34
14084if_20	Heat & drought	EGF 36h Rewatering	N22	Spikelet_N22 Heat & drought EGF Rewatering 36h	GNR36	14084if	20
14050if_47	Heat & drought	EGF 60h Rewatering	N22	Spikelet_N22 Heat & drought EGF Rewatering 60h	GNR60	14050if	47
14057if_32	Heat & drought	EGF 60h Rewatering	N22	Spikelet_N22 Heat & drought EGF Rewatering 60h	GNR60	14057if	32
14064if_25	Heat & drought	EGF 60h Rewatering	N22	Spikelet_N22 Heat & drought EGF Rewatering 60h	GNR60	14064if	25
14079if_16	Heat & drought	EGF 60h Rewatering	N22	Spikelet_N22 Heat & drought EGF Rewatering 60h	GNR60	14079if	16
14084if_51	Heat & drought	EGF 60h Rewatering	N22	Spikelet_N22 Heat & drought EGF Rewatering 60h	GNR60	14084if	51
14054if_47	Control	EGF Late stress	Dular	Spikelet_Dular Control EGF_10d_End of stress	GDCLS	14054if	47
14061if_36	Control	EGF Late stress	Dular	Spikelet_Dular Control EGF_10d_End of stress	GDCLS	14061if	36
14069if_29	Control	EGF Late stress	Dular	Spikelet_Dular Control EGF_10d_End of stress	GDCLS	14069if	29
14084if_15	Control	EGF Late stress	Dular	Spikelet_Dular Control EGF_10d_End of stress	GDCLS	14084if	15
14088if_54	Control	EGF Late stress	Dular	Spikelet_Dular Control EGF_10d_End of stress	GDCLS	14088if	54
14050if_12	Control	EGF 12h Rewatering	Dular	Spikelet_Dular Control EGF_12h_ Rewatering	GDC12	14050if	12
14054if_49	Control	EGF 12h Rewatering	Dular	Spikelet_Dular Control EGF_12h_ Rewatering	GDC12	14054if	49
