ID	Treatment	Timepoint	Cultivar	Description	Code	Batch	Sequence
15280if_18	Heat & drought	EGF 12h Rewatering	Anjali	Spikelet-Heat & Drought-EGF 12h Rewatering-Anjali	GAR12	15280if	18
15294if_6	Heat & drought	EGF 12h Rewatering	Anjali	Spikelet-Heat & Drought-EGF 12h Rewatering-Anjali	GAR12	15294if	6
15223if_14	Heat & drought	EGF 36h Rewatering	Anjali	Spikelet-Heat & Drought-EGF 36h Rewatering-Anjali	GAR36	15223if	14
15238if_21	Heat & drought	EGF 36h Rewatering	Anjali	Spikelet-Heat & Drought-EGF 36h Rewatering-Anjali	GAR36	15238if	21
15261if_30	Heat & drought	EGF 36h Rewatering	Anjali	Spikelet-Heat & Drought-EGF 36h Rewatering-Anjali	GAR36	15261if	30
15277if_20	Heat & drought	EGF 36h Rewatering	Anjali	Spikelet-Heat & Drought-EGF 36h Rewatering-Anjali	GAR36	15277if	20
15294if_10	Heat & drought	EGF 36h Rewatering	Anjali	Spikelet-Heat & Drought-EGF 36h Rewatering-Anjali	GAR36	15294if	10
15223if_80	Heat & drought	EGF 60h Rewatering	Anjali	Spikelet-Heat & Drought-EGF 60h Rewatering-Anjali	GAR60	15223if	80
15238if_25	Heat & drought	EGF 60h Rewatering	Anjali	Spikelet-Heat & Drought-EGF 60h Rewatering-Anjali	GAR60	15238if	25
15264if_6	Heat & drought	EGF 60h Rewatering	Anjali	Spikelet-Heat & Drought-EGF 60h Rewatering-Anjali	GAR60	15264if	6
15277if_24	Heat & drought	EGF 60h Rewatering	Anjali	Spikelet-Heat & Drought-EGF 60h Rewatering-Anjali	GAR60	15277if	24
15291if_12	Heat & drought	EGF 60h Rewatering	Anjali	Spikelet-Heat & Drought-EGF 60h Rewatering-Anjali	GAR60	15291if	12
