	Code	Benzoic acid, 4-hydroxy-	Citric acid	Glutaric acid, 2-oxo-	Glycolic acid	Isocitric acid	Malic acid	Pyruvic acid	Succinic acid	Vanillic acid	Alanine, 3-cyano-	Asparagine	Aspartic acid	Butanoic acid, 4-amino-	Butyro-1,4-lactam	Glutamic acid	Glutamine	Glycine	Isoleucine	Leucine	N-Carboxyglycine	Phenylalanine	Proline	Serine	Threonine	Tyrosine	Valine	4-Hydroxybenzaldehyde	Hexadecanoic acid	Octadecanoic acid	A112003	A116014	A124002	A143003	A145008	A145016	A147011	A148006	A155004	A157012	A159003	A170001	A171003	A174001	A176001	A180002	A203003	A211001	A213001	A214003	A221004	A228001	A237001	A237002	A250001	A311002	Ornithine	Putrescine	Pyridine, 2-hydroxy-	Pyridine, 3-hydroxy-	Spermidine	Cinnamic acid, 4-hydroxy-, trans-	Ethanolaminephosphate	Glucose-6-phosphate	Glyceric acid-3-phosphate	Glycerol-3-phosphate	Glycerophosphoglycerol	Inositol-phosphate, myo-	Phosphoric acid	Phosphoric acid monomethyl ester	Erythronic acid	Galactaric acid	Galactonic acid	Gluconic acid	Glyceric acid	Threonic acid	Arabitol	Erythritol	Glycerol	Hydroquinone	Inositol, myo-	Ribitol	4-Hydroxyphenyl-beta-glucopyranoside	Arabinose	Fructose	Glucose	Kestose, 1-	Raffinose	Sucrose
14050if_18	FNC	3.061340161	10.36806314	2.990038483	3.827840059	5.466644005	8.595501575	4.343448463	7.053839515	4.698445977	1.929527414	5.477716	5.057972657	4.013040196	7.613278405	3.435321199	6.828723253	6.350707285	1.661798748	0.917507248	2.136255218	2.828998016	13.71166142	8.095576248	5.350776761	3.985427794	3.800660116	1.171268868	5.579771635	4.841525865	2.295100049	2.392332173	5.018054535	5.375040515	5.309457653	1.112089763	0.988697545	1.653899006	0.222256154	3.307055667	1.673183011	0.557532459	4.324935765	0.897422253	6.414141171	0.383887846	6.824774538	0.5390302	0.736907497	0.500458017	7.24102368	5.557746125	6.510804901	3.463128398	0.235814243	3.781047638	2.544896827	0.969633599	1.568993765	0.507368468	1.85829901	8.008741919	4.00124084	1.167369665	0.058504649	9.387940961	2.123975992	2.185754727	11.88181312	2.865566179	1.309933388	2.145535569	4.009846471	10.41848706	1.517326135	3.757086643	0.213245555	0.257914721	5.767561419	0.292254882	14.63865442	0.493416944	0.320682457	4.331047013	33.67987375	30.44631615	0.872895703	1.028273562	11.8350554
14054if_55	FNC	1.866930258	8.607667893	1.785066043	3.413284731	6.647709921	7.435218151	3.075564654	6.360214376	3.241647822	2.780605194	5.87554202	4.580074059	3.820806204	5.213751299	2.269859818	8.334785876	6.002104707	0.986301759	0.771397248	2.268552544	2.367335085	10.68866918	8.519336531	4.348979222	2.83423921	4.719012738	0.948997586	5.409770678	5.294843909	1.726783851	1.758008046	2.644567245	5.530113099	5.521512779	1.027064643	0.956674419	1.597048919	0.173581857	2.501499429	1.442830675	0.474035518	3.24538582	0.95121891	7.478038936	1.021517767	5.074071853	0.350234627	0.778847828	0.27919927	7.358189126	4.772678883	5.490767661	2.628352931	0.242381105	4.075801193	2.417730481	0.825011657	2.05487325	0.400825932	2.55208139	6.316691174	3.25398998	0.937046537	0.056679873	7.958274602	2.028953006	1.553569399	12.03893107	2.650743967	1.24025905	1.761269774	3.085919481	7.059383094	1.528683402	3.996364766	0.220332921	0.233469187	6.78582666	0.238119103	14.08781586	0.364030263	0.267168583	4.678976854	39.31525568	29.85108653	1.168294625	0.997791374	8.360566419
14061if_44	FNC	3.059899863	10.18435543	1.512070587	4.393642929	7.226718909	8.917992278	3.334860593	6.915959872	5.303099172	5.703342642	5.930895764	4.395229071	4.674684198	8.104275959	2.290098081	8.285807584	7.272535808	2.012377752	0.70435403	2.549880704	2.84003789	11.36728769	10.07180707	4.755973038	3.226611125	5.118399448	1.33699727	4.705176796	4.980524262	1.972595868	2.363933354	3.811985284	5.455532953	4.044056112	1.076285023	1.230076684	1.822995523	0.216752482	3.174571789	1.557482605	0.174433821	3.12408188	1.006315323	7.962123538	0.08411154	6.113807261	0.41622613	0.795338976	0.352623073	6.024180912	4.901002297	6.108524863	3.264275132	0.201138888	3.713913178	NA	0.92987937	1.803302587	0.554617953	2.576325183	6.323505573	2.72300352	0.789270378	0.043533518	8.841746384	1.213730536	2.543072885	15.10615267	6.596060475	1.23338506	2.20943422	2.642047793	NA	1.776442296	5.228849748	0.235722666	0.251781284	8.010161155	0.194924405	13.01524097	0.520722434	0.198941124	5.210527214	45.36668948	33.08695531	0.810026798	0.972264979	7.13308407
14069if_37	FNC	2.46981011	10.4600961	2.41221519	3.314624194	5.50881023	8.489933211	4.124335695	7.327246429	3.692021653	2.555877055	4.894297675	5.220882189	4.502155318	7.722056869	2.760554842	8.106765743	5.726134357	1.848348159	0.769786172	2.514891787	3.145728769	12.28402849	8.291448515	5.294062432	3.627064571	4.094588274	0.807976258	5.519295815	5.318847088	1.889807087	2.52772384	3.755487866	5.449734502	4.578660332	1.10729676	0.925055586	1.452593197	0.316197669	3.613897438	1.773291781	0.433020201	5.068881562	1.081587491	8.488681403	0.312786982	7.110978735	0.341462762	0.822690707	0.398134732	6.582366847	6.287322886	8.17566918	3.238017605	0.226014587	4.506068408	6.075014685	1.018935837	1.516535564	0.460903286	1.989460249	6.244008537	3.83283272	1.087047794	0.057662088	9.556827099	1.938784459	2.036964122	13.11596396	3.870023653	1.475229047	2.31519652	4.165639557	9.314832996	1.727354946	4.422164807	0.171471643	0.207515139	6.003422059	0.291774879	13.15713586	0.518057163	0.287415721	5.094276858	35.82045178	27.77599828	0.842158157	1.376967306	6.045809625
14084if_23	FNC	4.01774467	14.32018875	2.411992416	3.790899775	6.252076198	10.29448313	4.376222153	8.74987146	6.068534105	3.258210119	6.072264117	5.753743441	4.121948003	9.163397161	2.574792588	13.15003482	5.973765554	2.073694724	0.778400195	1.132529458	3.723852351	18.01048806	7.965737555	5.668166702	4.338199463	4.584259582	0.930274407	5.526043484	5.780212707	2.52548431	2.551955804	6.781480241	5.803217293	5.81189125	1.244230216	1.05625534	1.747270989	0.295296477	3.977660434	1.91109099	0.531757512	4.513161879	0.953126611	8.402312334	0.973978657	8.202247565	0.527313623	0.999483769	0.427952628	7.737844039	6.337698063	9.556489188	4.019974555	0.443837516	5.592436006	3.973125387	1.005953824	1.491437733	0.548267838	2.414467065	8.174190602	4.248513312	1.085741879	0.052798853	12.67590986	1.988609065	3.206690877	17.92673943	5.207153166	1.506456696	2.397814438	4.758486492	NA	1.986611474	4.151128031	0.254331948	0.23345133	8.991777836	0.255107136	17.14742705	0.535511636	0.335355006	6.457671155	43.95445769	32.7651457	0.868281362	0.820777462	4.477803673
14054if_14	FNES	0.623075695	13.27632786	1.215958802	7.515447108	7.905308777	9.709867537	1.053683118	4.494520061	1.164193434	3.781198834	6.051457927	5.487058108	11.02802272	2.980893822	15.13908158	7.529886565	3.943951987	1.212979762	0.575218614	1.676135211	1.567081375	12.34360658	7.584036599	4.462712262	2.160207106	4.066619024	0.98743736	5.028154639	4.701636372	2.841337497	2.850946003	1.073984513	4.671384502	5.250048739	0.968388104	0.888774522	1.601661243	0.276175338	2.803786595	1.939735132	0.577646462	5.630591401	1.573759241	8.318440341	1.333246766	2.26460685	0.330043091	0.269304675	0.280509147	5.214183431	5.38994745	3.883919094	3.949670501	0.253906105	1.076144025	1.461196325	0.682917801	1.578021193	0.528932626	2.124033428	4.7749371	6.689364998	4.59449795	0.215424551	4.229067863	8.883329545	0.552972327	11.49949152	3.660842299	0.670233342	2.108727113	1.844575499	0.312989302	0.243654787	2.154002763	0.203876453	0.193171498	1.566259104	0.288925613	8.731599214	0.434668302	0.474829209	1.681865213	28.48275758	23.71780228	0.3154965	2.125461569	25.64895184
14057if_52	FNES	1.227542439	11.09267855	1.381957621	11.8102456	9.231208376	7.499827572	1.137194102	7.831607885	2.335052425	7.03732766	3.965535856	4.352150104	8.694302176	5.280837028	13.18466029	7.289240899	8.832256905	2.422190195	1.040603645	2.887055131	2.099697783	21.01805667	9.687309844	7.71449067	2.80099212	4.535173225	1.370383129	5.684848628	5.527660797	1.488848514	4.204144234	2.242189136	7.908262052	7.7209122	1.951617781	1.622045368	2.998203165	0.291652156	3.119387343	2.519040823	0.901147201	7.328345144	2.061682568	9.757947448	0.567179405	3.126944233	0.636731846	0.378262157	0.519454525	5.558572202	5.659656965	4.701915749	4.4776582	0.116376298	0.86397389	1.968877667	0.925429246	1.772448482	0.802685279	2.838024122	7.241060073	6.331159511	4.241996896	0.151577852	6.463021326	9.41205208	0.815129212	8.954802018	5.823492983	0.520453267	2.863003965	2.418833001	0.657788076	0.558342595	2.336960045	0.315076647	0.301707465	1.946407439	0.318035009	11.12801675	0.825710406	0.582471748	2.490754511	26.63873526	18.51513351	0.436933585	2.012914614	19.15589716
14064if_45	FNES	1.370745619	11.40261854	1.583261082	9.939778032	8.226268337	7.630386428	1.686091242	6.321172701	3.118143903	5.727367606	3.654994103	3.78866966	10.70321075	4.067596852	9.032688777	6.864745313	7.005553942	2.170913282	1.099134726	3.168333221	2.589002099	13.23189004	6.309732611	6.422840217	3.222659344	5.120077311	1.445105106	6.788138585	6.534626831	2.016365083	3.588201884	1.787598786	7.818667315	7.771918616	1.767146524	1.411281852	2.817597526	0.469472239	3.245163028	2.888691906	0.881965543	6.639433373	2.028089123	10.07712169	3.168739409	4.096173616	0.629057076	0.501819556	0.498445818	5.484599034	6.628029521	5.499198846	5.242715607	0.282277585	1.095136579	2.406446385	0.980291257	2.019305355	0.576737741	3.098057853	8.272353893	7.882658894	3.861199753	0.137748329	6.713077177	8.249093093	1.118961041	9.811005152	7.319583971	0.769119315	2.750600633	3.204911024	0.870681115	0.575628496	3.30185077	0.323925813	0.424815811	1.540687896	0.243595019	9.598799628	0.661390874	0.460053983	3.213292846	33.1875441	24.74061086	0.461259797	1.600259405	23.31781653
14079if_36	FNES	1.252443709	12.13056084	1.190349596	7.952307224	6.977960288	8.268926953	1.845448033	4.812864825	3.04039188	6.477614275	4.993068564	4.562084537	10.85882291	4.02945967	9.606384467	10.26881143	7.861971349	1.819786993	0.708264889	3.046698345	2.185037513	15.51250894	8.092311974	5.612882352	3.109523875	5.022896496	0.992140157	5.046356716	4.750546362	2.249399779	3.012546617	1.56718245	5.692127915	4.832855119	1.047694265	1.021654495	1.952984484	0.341721406	3.0343899	2.009700114	0.624377143	6.894925122	1.421356849	7.543671358	0.178167013	3.088730842	0.558598875	0.394035716	0.535412226	4.419592764	5.242319882	3.990410976	4.020094123	0.210568218	1.500179632	0.759743815	0.86068605	1.96676313	0.617013873	2.020773151	5.708398626	4.876634471	2.515049802	0.085783662	4.82533702	5.827942167	1.091131221	10.83417646	3.820531364	0.616049223	2.293294215	2.633415512	1.157931827	0.433351304	2.51255244	0.241044766	0.301824552	1.846011486	0.264613927	12.41294259	0.611701039	0.360513182	2.629147609	35.45666005	25.40046568	0.537025211	1.570087961	16.72185164
14088if_21	FNES	0.329329878	12.0322479	1.475849497	8.070899076	11.08447572	8.606965773	1.496106271	4.690047854	1.738834028	5.2209158	4.639914399	5.7519147	11.96483834	3.360367518	13.19209732	10.20727867	6.716308448	1.487352738	0.25278924	2.593055008	1.61729854	15.59123241	9.350291598	5.337603378	2.359174419	4.116610001	1.263055755	4.879216348	3.883286758	2.712741993	2.627674728	1.186195981	5.79393724	5.949827451	1.00500858	1.006947339	1.798371586	0.232945158	2.809037879	2.482959469	0.198230282	4.9408373	1.671684827	6.938347824	0.369254283	2.124117189	0.402603217	0.307748353	0.278224651	4.886049149	4.417282476	3.247299837	3.076637275	0.201653581	0.727792767	0.233984738	0.700681747	2.106919316	0.542198547	2.018383243	5.728311494	5.4483387	2.840630371	0.15572994	4.396184175	5.502176298	0.757941378	9.896166501	3.355630567	0.528830663	1.951883801	1.905929724	0.63008404	0.347794444	2.319858671	0.187215403	0.204181094	2.165088356	0.275517174	10.1256483	0.416456249	0.332827027	2.172627255	24.74824444	19.91120332	0.274560247	1.338565138	18.59081333
