	Code	Benzoic acid, 4-hydroxy-	Citric acid	Glutaric acid, 2-oxo-	Isocitric acid	Malic acid	Pyruvic acid	Succinic acid	Vanillic acid	Alanine, 3-cyano-	Aspartic acid	Glutamic acid	Glutamine	Glycine	Isoleucine	Leucine	N-Carboxyglycine	Phenylalanine	Serine	Threonine	Valine	Hexadecanoic acid	Octadecanoic acid	A112003	A116014	A143003	A145016	A147011	A155004	A159003	A170001	A174001	A176001	A203003	A211001	A213001	A228001	A237001	A237002	A250001	A311002	Putrescine	Pyridine, 2-hydroxy-	Pyridine, 3-hydroxy-	Glucose-6-phosphate	Glyceric acid-3-phosphate	Glycerol-3-phosphate	Glycerophosphoglycerol	Inositol-phosphate, myo-	Phosphoric acid	Phosphoric acid monomethyl ester	Erythronic acid	Galactaric acid	Gluconic acid	Threonic acid	Arabitol	Erythritol	Glycerol	Hydroquinone	Inositol, myo-	Ribitol	4-Hydroxyphenyl-beta-glucopyranoside	Arabinose	Fructose	Glucose	Kestose, 1-	Raffinose	Sucrose
14054if_17	GNCLS	0.182363766	10.76419952	0.767400654	4.873048114	9.443062807	1.30767303	5.012862318	1.057905377	0.300233142	4.002605247	14.95568182	0.968501838	1.53132909	0.611630629	0.68636517	0.606533018	0.905568013	0.356572258	3.300701577	3.649279273	4.239325533	3.074029696	2.222412829	1.715815743	3.515986529	0.412836289	0.32856519	0.877895073	0.662574718	0.576492986	0.552827172	3.137317532	0.65551089	0.380073871	0.251257405	2.597947924	2.473154513	3.467851063	0.197414216	0.792183576	0.330106864	1.53020042	0.359483335	7.523481263	0.550527832	3.663207399	1.197986867	2.309869458	10.14511016	1.83298091	1.501757285	1.055102629	1.72666812	0.856302678	0.859166693	1.562358305	1.637166566	0.312890684	5.036424716	0.246859828	0.530953615	0.710026721	3.768919311	5.047485458	0.690963613	5.163144568	18.3477205
14057if_55	GNCLS	1.036508386	1.948078591	1.422896639	3.818835563	8.185747564	1.790645418	8.338334912	1.25541593	0.096329518	3.991457891	16.53343676	1.216530803	1.307459272	0.680117751	1.258623479	1.382981151	0.375502854	NA	0.59870308	2.414477781	7.386249108	6.430817528	1.495898639	5.316115143	7.073927954	0.754002987	0.670672876	1.350644756	0.981959871	1.709758913	0.802427846	3.780615336	0.666260329	0.936069046	0.326039951	3.48843943	3.840053545	5.364501079	0.461382666	1.117122543	0.286544557	2.895622779	0.603117571	6.516594612	0.880697246	4.203159258	1.635821036	2.03946966	8.16768864	2.199410757	1.429457223	0.909959125	1.905224798	1.678794745	1.420618077	4.866826613	2.656217591	0.211714101	3.139685615	0.425157774	0.79921981	1.229337115	4.166012481	3.400724288	1.003753129	6.259908769	20.99600892
14064if_48	GNCLS	0.748322237	4.536002347	0.806301744	4.070269689	10.75602708	1.309626538	7.373436541	1.727937902	0.346867454	6.05762748	16.43456773	0.868612033	1.200827831	0.821683518	1.133403184	0.678742446	0.534000997	0.648352879	2.821618554	3.28480351	6.037267882	5.922158539	1.465433345	1.961553923	6.142149539	0.705315683	0.637142892	0.755838636	0.765855092	0.814823153	0.739793898	3.545852988	0.910581464	0.515646319	0.222215855	2.504968244	3.459415373	3.767521191	0.282657865	1.073382129	0.291415703	2.144385593	0.484396244	6.7263306	0.71096733	4.113903761	1.843869089	2.291412596	6.261842785	3.801742808	1.056353441	0.822100561	0.704542844	1.210144615	0.860734419	2.557616621	1.23996668	0.216441902	6.38967675	0.345341756	0.932900768	0.97643692	5.452547635	5.981043884	0.807916527	5.193279544	16.40908917
14079if_39	GNCLS	0.650727183	11.02664673	0.985749122	5.133096666	13.64931394	1.161722359	5.841232416	1.470143177	0.53821586	3.057028292	19.020402	0.925613953	2.364952454	0.518416154	0.855236682	0.575989163	0.669451972	0.970994454	1.82214549	3.045999454	5.94061647	5.403428627	1.476854528	1.539940744	4.545350342	0.470070293	0.410017446	0.435779471	0.797139851	0.636223909	0.611468697	3.767847749	1.166645159	0.524256059	0.230670665	2.905251179	2.472741252	3.795780692	0.185042587	0.883832251	0.286623897	1.81830021	0.395962094	8.986674732	0.435906851	3.68505898	1.023346436	2.207964514	7.958015009	1.662944128	0.731541591	0.928078272	0.572385351	1.091628298	0.444622926	1.373726607	1.309141244	0.210606425	6.634992362	0.152533824	0.752095127	0.71042213	6.015501118	6.606671987	0.774837472	3.986509775	14.01456326
14088if_24	GNCLS	0.242729899	2.45377158	0.880894208	5.287993673	8.143635233	1.262419279	7.017720379	1.534748545	0.103667827	1.308113831	11.56930136	1.101000074	1.66227341	0.492191877	0.830601574	0.79529825	0.357977129	1.047975256	1.393708188	3.259042618	4.364886343	4.098941802	2.5247673	1.874772508	5.102864498	0.479608789	0.414153449	0.707635398	0.649447244	0.305927287	0.453709422	2.838897335	0.481588853	0.387000719	0.188501594	2.640132875	2.960558977	3.792345405	0.297246303	0.929593595	0.14305723	1.722787007	0.374480652	4.77219477	0.422698256	3.79064369	0.95876033	1.765670801	7.735609179	1.725557008	0.921060904	0.817439527	0.610932603	0.979958842	0.374973937	2.033353601	1.61092487	0.303282268	5.675524669	0.188430532	0.608829892	0.832405914	3.415335537	3.533687323	0.523838097	5.52103828	20.94893913
14050if_42	GNC12	0.534844463	NA	0.795168242	7.063454023	13.60046954	1.067789004	4.84159803	1.334201148	1.29225001	8.268173112	22.86339246	0.946981776	3.356737462	1.650653054	1.351459563	0.989543486	3.010946022	1.242121273	NA	4.885278287	4.905977729	4.072327295	1.352348338	3.2772497	4.866614012	0.473843348	0.532154205	0.535552535	0.755412834	0.580164322	0.550371467	4.115168013	1.014141744	0.383655109	0.185273254	2.847386847	3.363838213	3.788000942	0.232502493	0.931892638	0.337411281	1.718149099	0.404775057	5.952102607	0.290159856	3.442494894	0.710518719	2.390647506	6.997540294	3.487212573	0.902350318	0.889806457	0.69222878	1.383148672	0.429635846	2.039891139	1.555607496	0.232393979	4.323282641	0.210191277	1.041228701	0.814576235	5.745523877	5.693516859	1.263718142	6.25189571	14.51612102
14057if_27	GNC12	0.366256504	9.749483732	0.559698663	6.637853263	10.36072913	1.162373399	4.695291376	1.421142601	0.973803504	9.422189419	31.53045237	0.61798759	1.86695379	NA	1.560573289	NA	NA	0.41979565	NA	7.730884519	4.825427777	4.894387085	1.834689134	1.294934937	4.57122024	0.566125877	0.543588961	0.794090349	0.824105041	0.400152626	0.637333057	3.065333735	1.058258141	0.378027987	0.184640751	2.227473624	2.539426266	3.350760682	0.240042189	0.799291949	0.293284165	1.577704127	0.387326039	5.613318183	0.356959118	3.140235537	0.846459055	1.951849095	6.863102315	2.586031119	0.666645191	0.633877116	1.976732944	1.130463076	0.119142275	1.387715943	1.511902681	0.229027804	6.412032426	0.127500041	0.751137163	0.955519631	7.054042754	6.263618935	0.599228774	3.825996869	16.115633
14064if_20	GNC12	0.260280716	8.808564754	0.776986202	6.742242325	18.87981828	1.186308837	4.969539147	1.028036347	0.878836297	8.805836566	19.10502311	0.753830696	1.670369063	0.954985185	1.113051478	0.77241973	1.985004963	0.458619902	3.299349765	4.319065737	6.772749185	5.734706962	2.053927248	1.222653273	5.843609372	0.708312644	0.679882613	0.554163167	0.897265023	0.653928667	0.823744468	4.256273924	1.364330142	0.548746465	0.256464219	2.591918469	2.665828652	3.752694217	0.219829775	1.002616227	NA	1.581621848	0.428063627	9.85252678	0.533568875	4.123331908	1.352458967	2.503787632	8.244580628	3.15011999	0.863032303	1.180813807	0.750669512	1.350686095	0.43322901	1.499293388	1.596611253	0.234142237	5.33970946	0.245546066	1.173153911	0.948866035	6.810431229	9.516039416	0.793703315	4.341471981	16.20929327
14079if_11	GNC12	0.308554937	1.284535689	0.725771531	5.004732514	10.41155345	1.062539414	4.85209414	1.09456969	0.0343518	0.776477039	11.28449523	0.706799306	1.439509713	0.550680668	0.775246668	0.92135452	0.242495749	1.020361134	0.699053385	3.690616568	4.846256755	4.094692054	2.748287034	1.039282795	4.707583413	0.586475324	0.950060881	0.635942636	0.756926505	0.741903806	0.637545878	3.092862441	0.749555257	0.411776746	0.156021467	2.314473331	2.435386921	3.727012215	0.239110223	1.043243493	0.252410281	1.443095559	0.381068053	7.198204665	0.279863152	3.326766735	1.153349331	2.323864511	8.017557083	2.072762139	0.625205322	0.666637677	0.684037306	0.866539867	0.290793416	2.108043096	1.388227056	0.227829543	4.144820986	0.302863877	0.686855117	0.711094618	6.203505447	5.44833607	0.822143106	5.359715639	22.69346754
14084if_46	GNC12	0.179464274	2.142563085	0.46664763	5.633572096	20.8411722	0.924288597	5.355307824	0.92078402	0.095426039	2.436820868	24.23910501	0.503807089	2.215217513	0.926686176	0.663882529	0.489471863	0.25904888	0.637033639	0.97501826	4.601170381	3.700802177	3.667861941	2.255113303	0.81381686	4.44162385	0.520386466	0.57236501	0.443606544	0.498315912	0.330552271	0.535137035	2.446750385	0.784798387	0.303860549	0.14831089	1.662662305	2.427778633	3.180694469	0.19072868	0.756209547	0.174095265	1.760821635	0.316639533	5.645755698	0.299044674	2.309396278	0.600908974	1.704755069	13.30918364	1.624052045	0.527543716	0.551363179	0.519618404	0.913713961	0.180932556	1.457531677	1.006846371	0.257385507	NA	0.231489732	0.544434784	0.683608063	9.083112006	10.20296917	0.668820966	2.369094677	19.04106859
