	Code	Citric acid	Glutaric acid, 2-oxo-	Glycolic acid	Isocitric acid	Malic acid	Pyruvic acid	Succinic acid	Vanillic acid	Alanine, 3-cyano-	Asparagine	Aspartic acid	Glutamic acid	Glutamine	Glycine	Isoleucine	Leucine	N-Carboxyglycine	Phenylalanine	Proline	Serine	Threonine	Valine	Hexadecanoic acid	Octadecanoic acid	A112003	A116014	A124002	A137012	A143003	A145016	A147011	A148006	A155004	A159003	A170001	A171003	A174001	A180002	A192014	A203003	A211001	A213001	A214003	A214004	A228001	A237001	A250001	A278005	A311002	Putrescine	Pyridine, 2-hydroxy-	Pyridine, 3-hydroxy-	Quinic acid, 5-caffeoyl-, trans-	Sinapic acid, trans-	Glucose-6-phosphate	Glyceric acid-3-phosphate	Glycerophosphoglycerol	Phosphoenolpyruvic acid	Phosphoric acid	Phosphoric acid monomethyl ester	Ascorbic acid	Dehydroascorbic acid dimer	Erythronic acid	Galactaric acid	Galactonic acid	Gluconic acid	Glyceric acid	Threonic acid	Arabitol	Erythritol	Glycerol	Hydroquinone	Inositol, myo-	Ribitol	4-Hydroxyphenyl-beta-glucopyranoside	Arabinose	Fructose	Glucose	Kestose, 1-	Raffinose	Sucrose
14054if_38	FNC	1.973304203	15.58205344	4.485945435	3.806234987	4.725774411	7.296355699	5.218014412	10.80360313	0.013966021	3.884750889	1.474164501	1.931243256	0.769780573	5.028798709	0.23442332	0.710794706	1.277692614	0.1581235	0.366534127	0.334983246	0.907309042	1.52463333	7.823801505	6.669450589	3.110706718	9.401885298	2.207459082	0.063465705	7.155987392	5.676456743	6.50399487	5.082360176	1.994773509	4.660156635	2.283288162	0.231125489	7.422282523	0.074099897	4.367583162	6.794488517	5.488025557	9.013110126	5.271621077	5.99239145	1.94224623	4.435701924	2.729118853	6.69731052	21.41220871	1.644766473	5.373917586	1.563032471	1.662718245	6.185398243	0.850027428	0.241825768	0.068756328	0.634561375	6.319445529	2.956267578	0.709628888	12.83625353	7.532924217	2.151187184	6.168300685	3.059832078	9.264161708	5.879272506	1.21839858	2.730473975	7.114525243	1.284223167	6.822338727	10.51119876	0.339423044	7.387905881	22.28329366	19.47402853	10.80500595	1.950131314	18.68107274
14061if_27	FNC	3.173680055	21.2273616	5.510373042	5.736470332	9.139405828	5.699314693	9.174806617	9.78294317	NA	3.132107561	1.623827456	4.530159155	0.526462094	8.588348289	0.372295927	0.896726071	1.546440373	0.351895725	0.398916602	0.881584442	1.121230952	2.139847974	8.666910574	8.0485654	3.487476039	7.448728382	2.900262837	0.127239318	6.793611544	5.176238443	5.367557315	5.848204152	1.922369013	4.661193801	1.965903944	0.381637587	7.894062982	0.226009624	4.598984333	5.312109515	5.095476466	8.351937648	4.049215294	4.80783093	2.396544119	4.862070319	2.665328645	7.325621672	19.32569138	1.125280321	6.498251065	1.89742128	2.795383719	9.297920622	2.007589675	0.35676866	0.188606604	0.455283175	16.06484852	4.134960569	0.27184835	21.25182651	6.9079521	3.561723955	5.048269798	1.657395205	13.38818789	6.740081986	0.661030913	1.441795087	7.160896567	2.407603274	5.530187895	10.07231375	0.36513014	6.564729611	24.49629979	21.86741264	8.918613536	2.8336705	15.98647871
14069if_20	FNC	1.557110518	18.76804786	5.834158851	5.688024895	7.958979361	6.376990028	11.54086678	9.268031384	0.045205068	5.494218465	1.258751575	6.480652734	0.574566513	7.881417747	0.633945347	1.373971767	3.346197759	0.191737361	0.59801125	0.388645674	1.950936405	3.12515314	6.664358355	5.759280684	4.256271174	8.137589474	4.022275214	1.094209886	6.61806631	6.792114971	7.159599546	6.483239151	2.75772578	4.468739831	2.556585288	0.360877682	7.709602745	0.099692058	3.455955187	5.281430409	5.367589216	8.496193722	3.846490346	4.647767819	1.622938234	3.691966503	2.743667749	6.719013898	31.5785627	0.844981307	6.75747632	1.92648457	1.462416787	9.355678605	1.616463083	0.393515779	0.332908398	0.548060688	14.16338526	3.402471855	1.020650055	15.21550982	7.573395377	1.762469552	4.684520808	2.064611815	12.14961361	7.256057901	0.735264848	2.089907926	7.333102349	2.484847491	8.241517134	10.22364925	0.409181278	6.761901427	22.29198181	19.66063855	9.045864693	2.785961342	17.24400682
14079if_60	FNC	1.709982382	16.17103875	4.830524785	2.1548251	5.898306472	5.845902641	7.330356136	7.355079	0.019401835	3.819467937	1.249590442	5.359031664	0.419111331	5.353227281	0.400878312	1.176363866	1.69756416	0.477194222	0.426372828	0.167782368	1.371495087	2.316453468	6.915796206	6.451386437	2.417831762	9.987797046	2.551066996	0.745910668	5.083651615	6.46947606	6.733697179	5.100840994	1.912185859	3.230497834	2.154716393	1.419542998	6.412819278	0.134096349	2.582992698	9.71527978	4.109391022	10.67384597	5.335454161	5.744631557	1.738811844	3.901869875	2.207421388	6.336924669	30.04975086	1.05698432	5.889879551	1.601810181	2.216625969	4.95569575	1.135982018	0.306741189	0.065892701	0.791396621	10.16106401	4.333062454	0.557920425	10.40649484	6.069486194	2.628030783	6.384682235	1.987825966	11.97032919	5.494752432	0.823752055	1.462116975	7.941560096	1.521793141	5.407489294	8.18319587	0.298378265	6.44854245	18.74163407	21.74938706	NA	2.620741075	14.94031177
14088if_45	FNC	0.931972476	13.84915582	4.395462146	5.024074154	5.858130978	5.050661323	10.6089532	7.335253517	0.007032456	NA	NA	1.001761749	0.516201171	5.162859255	0.364137933	1.251368039	1.341003251	0.036295206	0.451593193	0.103327902	0.777560436	1.858294339	7.382274341	6.151108202	2.75183775	11.82562416	2.434675706	0.105800004	5.149148647	5.158823875	5.977731397	5.262451052	2.255942869	3.903879565	1.607818379	0.502498719	7.543907594	0.1067576	3.348826637	5.671518687	5.484270984	10.07910116	4.639902418	4.637969279	1.670747004	3.501799597	3.299031569	5.998774284	22.41091604	0.723592245	5.684345699	1.63563009	1.211751489	6.372555098	1.22365577	0.024398944	0.079820756	0.658257466	11.10114646	2.596332918	0.299984432	14.79809269	5.840976704	2.673924411	5.642756571	1.883246605	9.978784553	7.051055764	0.634316354	1.541665855	7.39465378	0.590160359	5.516251657	10.28592019	0.330712769	5.618150273	23.53533679	19.70660705	NA	2.033868017	18.04966993
14054if_31	FNES	2.927377657	3.68104763	6.027072722	3.421811853	2.151239456	5.396876956	4.718392044	2.500289393	0.022557941	3.442912653	0.699846602	8.566605621	0.840374976	9.650140653	0.353368289	0.947923805	2.58503908	0.262548113	0.56011338	0.428947556	1.670650412	2.765861244	6.610140643	5.005860992	3.667486744	6.826666059	1.38985573	0.34826697	5.470137566	4.619548146	5.042498202	8.591327911	1.607568616	3.005327824	2.22619678	0.719961275	7.431989605	1.312765383	5.462600572	2.967579489	5.129447487	4.230371537	4.234715395	4.330066869	1.301752609	1.700762233	2.082378193	3.994567382	2.208865075	3.587714855	5.891389179	1.380499617	1.819292244	2.114352801	1.060492419	3.851815604	0.346730268	2.794074687	2.66267368	2.157620844	0.976756749	15.80540276	5.771734993	1.944405029	4.237361089	1.182159336	3.985647688	6.369598127	0.873925645	1.565051462	1.522972652	1.59189371	8.16806252	10.93376807	0.773331847	3.277385438	18.66349091	16.12405755	6.470382219	3.088848632	21.81909703
14061if_20	FNES	4.778773033	4.471520486	5.295554771	3.196396134	2.820835382	5.178556098	3.623792931	1.573543799	1.025069704	1.998884025	1.161750606	14.84448816	0.794683956	6.989097809	0.636559896	0.957729318	2.741247429	0.436610603	1.592184277	0.37577469	3.392533666	3.530933248	5.8976453	4.855129386	4.079878473	5.363514406	1.220538328	1.157608743	4.892388055	2.874814541	3.215951939	3.286582339	1.172870285	2.214246175	1.824900394	1.487922866	6.20351856	0.234761885	4.376005638	4.759430452	4.070310537	4.321220645	3.807284208	4.349163487	1.607293854	2.087519691	2.090177527	5.461862776	2.497191972	3.134920589	4.67138791	1.249896223	2.494191298	0.946762355	1.251351476	5.415230671	0.413056483	5.127644817	4.740018824	1.526833661	1.077486965	17.14662081	4.826419242	1.965858304	3.738512617	0.93724644	4.170519631	3.616010188	0.602173409	1.700034486	1.840597305	1.312066924	7.528812908	8.092950469	0.545448722	3.534075008	28.14536061	25.7028061	10.04413509	3.359697905	20.4041514
14069if_13	FNES	3.205440877	5.135086428	5.334280901	3.977800367	2.094714923	6.14073096	3.678147416	1.940091957	0.012073461	3.870638557	1.200468973	7.974068074	1.102343874	4.821847677	0.494140245	0.811277464	2.771228262	0.175443489	0.605677721	0.644772714	2.377143405	3.078016285	7.870395882	7.191318032	4.33087691	5.073245505	1.514971627	0.831326512	6.783838246	3.370734548	3.696108196	3.913524426	1.393481991	2.482463628	2.327990024	1.015147619	6.288965866	0.332505077	4.962309008	4.80633842	4.447491861	5.909844022	5.325164037	5.155770972	1.934747566	2.590389284	2.709620933	5.313918017	2.477272655	3.514047055	5.59453749	1.784835324	2.108199871	1.206349482	1.443274422	10.10794144	0.590163057	4.972145391	3.491564298	5.401590524	1.252724914	21.21810526	4.956484994	1.850959526	4.175719374	1.366817792	5.496472168	4.316767952	0.806777477	1.590304166	1.887230744	2.066761898	5.352137583	9.625399209	0.813553522	4.714477923	23.09093008	19.65225013	5.795432129	2.5392938	17.0461893
14079if_53	FNES	2.599650828	4.503418089	5.69946226	3.225295961	1.845511936	4.913325091	3.037502206	2.633837544	0.094741307	4.658827814	0.688019307	24.76875302	0.854313765	5.068968463	0.439076018	0.901609419	2.406856513	0.448189515	0.832003326	0.823146783	2.158315678	2.441286146	8.5944123	7.567974163	2.993015688	5.727500127	1.618101162	1.164088903	6.08239236	3.71010721	4.085562284	5.022355055	2.563774687	3.354493896	4.053658407	0.453906691	7.249968346	0.476045746	4.666237262	4.418589349	7.405408507	6.723526346	6.949903059	7.036788868	1.608324319	3.409750979	4.256247634	9.857487917	2.147237207	5.910152691	6.357796718	1.599888874	3.024535163	2.134974348	1.255111738	9.778818278	0.260772422	4.952471237	2.526743718	2.908773153	1.400351927	20.65906445	6.017086049	2.325336	5.673286952	1.306137794	4.300836944	6.002315428	1.303632519	2.824869773	2.082615046	1.901540639	8.637963669	11.73801382	0.862393794	5.249906099	19.09746784	16.58379373	10.17630007	2.758904192	19.51812427
14088if_38	FNES	3.884203114	3.855534455	6.251977509	4.708521879	2.390396489	6.051587306	3.400296643	2.32496673	0.02469315	5.114538308	0.631580733	3.934157952	1.168260676	4.531688424	0.480409261	1.001646724	1.469651163	0.24013983	1.040003324	0.304408965	1.02786292	2.562609007	6.112232841	5.02568027	3.216943294	5.99374624	1.177584647	0.147946644	5.567073543	3.012379861	2.859448758	3.330035637	1.88284256	2.613565766	2.335198481	0.501561301	7.411598746	0.108792926	3.743037206	2.874873192	5.253645506	6.57160377	5.852234974	5.556299618	1.491084961	2.127686572	3.073629033	4.520035199	1.787290539	3.295780591	7.069482955	1.370178226	1.821562583	2.213784223	1.068002599	4.40007975	0.430526247	4.51892374	4.316671626	1.688796435	1.204226452	17.05787307	4.634865793	1.643229547	4.080064572	1.296845907	3.777014392	4.068822147	0.989648779	2.358229724	1.972571003	0.600629798	8.288937539	9.891335773	0.5946161	4.212281943	23.39806358	20.96353643	5.344795633	2.314298573	19.36511003
