ID	Treatment	Timepoint	Cultivar	Description	Code	Batch	Sequence
16031gf_2	Control	FL	N22	Spikelet-Control-Flowering-N22	FNC	16031gf	2
16032gf_41	Control	FL	N22	Spikelet-Control-Flowering-N22	FNC	16032gf	41
16034gf_33	Control	FL	N22	Spikelet-Control-Flowering-N22	FNC	16034gf	33
16037gf_33	Control	FL	N22	Spikelet-Control-Flowering-N22	FNC	16037gf	33
16040gf_23	Control	FL	N22	Spikelet-Control-Flowering-N22	FNC	16040gf	23
16028gf_42	Heat & drought	FL Early stress	N22	Spikelet-Heat&Drought-EGFStartofstress-N22	FNES	16028gf	42
16032gf_32	Heat & drought	FL Early stress	N22	Spikelet-Heat&Drought-EGFStartofstress-N22	FNES	16032gf	32
16034gf_24	Heat & drought	FL Early stress	N22	Spikelet-Heat&Drought-EGFStartofstress-N22	FNES	16034gf	24
16037gf_24	Heat & drought	FL Early stress	N22	Spikelet-Heat&Drought-EGFStartofstress-N22	FNES	16037gf	24
16040gf_14	Heat & drought	FL Early stress	N22	Spikelet-Heat&Drought-EGFStartofstress-N22	FNES	16040gf	14
16028gf_37	Heat & drought	FL Late stress	N22	Spikelet-Heat&Drought-FLEndofstress-N22	FNLS	16028gf	37
16032gf_27	Heat & drought	FL Late stress	N22	Spikelet-Heat&Drought-FLEndofstress-N22	FNLS	16032gf	27
16034gf_19	Heat & drought	FL Late stress	N22	Spikelet-Heat&Drought-FLEndofstress-N22	FNLS	16034gf	19
16037gf_19	Heat & drought	FL Late stress	N22	Spikelet-Heat&Drought-FLEndofstress-N22	FNLS	16037gf	19
16040gf_9	Heat & drought	FL Late stress	N22	Spikelet-Heat&Drought-FLEndofstress-N22	FNLS	16040gf	9
16028gf_17	Heat & drought	FL 12h Rewatering	N22	Spikelet-Heat&Drought-FL12hRewatering-N22	FNR12	16028gf	17
16032gf_13	Heat & drought	FL 12h Rewatering	N22	Spikelet-Heat&Drought-FL12hRewatering-N22	FNR12	16032gf	13
16032gf_58	Heat & drought	FL 12h Rewatering	N22	Spikelet-Heat&Drought-FL12hRewatering-N22	FNR12	16032gf	58
16034gf_76	Heat & drought	FL 12h Rewatering	N22	Spikelet-Heat&Drought-FL12hRewatering-N22	FNR12	16034gf	76
