Year	Description	Batch ID	Stage	Tissue	Code
2014	Leaf-Control -Flowering-N22	15226if_14	FL	Flag leaf	FLFNC
2014	Leaf-Control -Flowering-N22	15258if_28	FL	Flag leaf	FLFNC
2014	Leaf-Control -Flowering-N22	15273if_20	FL	Flag leaf	FLFNC
2014	Leaf-Control -Flowering-N22	15288if_7	FL	Flag leaf	FLFNC
2014	Leaf-Control -Flowering-N22	15297if_30	FL	Flag leaf	FLFNC
2014	Leaf-Heat & Drought-EGF Start of stress-N22	15238if_4	FL	Flag leaf	FLFNES
2014	Leaf-Heat & Drought-EGF Start of stress-N22	15261if_13	FL	Flag leaf	FLFNES
2014	Leaf-Heat & Drought-EGF Start of stress-N22	15277if_34	FL	Flag leaf	FLFNES
2014	Leaf-Heat & Drought-EGF Start of stress-N22	15288if_19	FL	Flag leaf	FLFNES
2014	Leaf-Heat & Drought-EGF Start of stress-N22	15300if_15	FL	Flag leaf	FLFNES
2014	Leaf-Heat & Drought-FL End of stress-N22	15223if_53	FL	Flag leaf	FLFNLS
2014	Leaf-Heat & Drought-FL End of stress-N22	15243if_42	FL	Flag leaf	FLFNLS
2014	Leaf-Heat & Drought-FL End of stress-N22	15267if_19	FL	Flag leaf	FLFNLS
2014	Leaf-Heat & Drought-FL End of stress-N22	15285if_32	FL	Flag leaf	FLFNLS
2014	Leaf-Heat & Drought-FL End of stress-N22	15294if_25	FL	Flag leaf	FLFNLS
2014	Leaf-Control -Flowering-Dular	15238if_16	FL	Flag leaf	FLFDC
2014	Leaf-Control -Flowering-Dular	15261if_31	FL	Flag leaf	FLFDC
2014	Leaf-Control -Flowering-Dular	15277if_27	FL	Flag leaf	FLFDC
2014	Leaf-Control -Flowering-Dular	15291if_19	FL	Flag leaf	FLFDC
2014	Leaf-Control -Flowering-Dular	15300if_25	FL	Flag leaf	FLFDC
2014	Leaf-Heat & Drought-EGF Start of stress-Dular	15223if_63	FL	Flag leaf	FLFDES
2014	Leaf-Heat & Drought-EGF Start of stress-Dular	15258if_10	FL	Flag leaf	FLFDES
2014	Leaf-Heat & Drought-EGF Start of stress-Dular	15267if_36	FL	Flag leaf	FLFDES
2014	Leaf-Heat & Drought-EGF Start of stress-Dular	15285if_16	FL	Flag leaf	FLFDES
2014	Leaf-Heat & Drought-EGF Start of stress-Dular	15297if_12	FL	Flag leaf	FLFDES
2014	Leaf-Heat & Drought-FL End of stress-Dular	15226if_16	FL	Flag leaf	FLFDLS
2014	Leaf-Heat & Drought-FL End of stress-Dular	15258if_30	FL	Flag leaf	FLFDLS
2014	Leaf-Heat & Drought-FL End of stress-Dular	15273if_22	FL	Flag leaf	FLFDLS
2014	Leaf-Heat & Drought-FL End of stress-Dular	15288if_9	FL	Flag leaf	FLFDLS
2014	Leaf-Heat & Drought-FL End of stress-Dular	15300if_5	FL	Flag leaf	FLFDLS
2014	Leaf-Control -Flowering-Anjali	15223if_52	FL	Flag leaf	FLFAC
2014	Leaf-Control -Flowering-Anjali	15243if_40	FL	Flag leaf	FLFAC
2014	Leaf-Control -Flowering-Anjali	15267if_17	FL	Flag leaf	FLFAC
2014	Leaf-Control -Flowering-Anjali	15280if_31	FL	Flag leaf	FLFAC
2014	Leaf-Control -Flowering-Anjali	15294if_23	FL	Flag leaf	FLFAC
2014	Leaf-Heat & Drought-EGF Start of stress-Anjali	15223if_15	FL	Flag leaf	FLFAES
2014	Leaf-Heat & Drought-EGF Start of stress-Anjali	15238if_28	FL	Flag leaf	FLFAES
2014	Leaf-Heat & Drought-EGF Start of stress-Anjali	15264if_15	FL	Flag leaf	FLFAES
2014	Leaf-Heat & Drought-EGF Start of stress-Anjali	15280if_13	FL	Flag leaf	FLFAES
2014	Leaf-Heat & Drought-EGF Start of stress-Anjali	15294if_33	FL	Flag leaf	FLFAES
2014	Leaf-Heat & Drought-FL End of stress-Anjali	15238if_18	FL	Flag leaf	FLFALS
2014	Leaf-Heat & Drought-FL End of stress-Anjali	15264if_5	FL	Flag leaf	FLFALS
2014	Leaf-Heat & Drought-FL End of stress-Anjali	15277if_29	FL	Flag leaf	FLFALS
2014	Leaf-Heat & Drought-FL End of stress-Anjali	15291if_21	FL	Flag leaf	FLFALS
2014	Leaf-Heat & Drought-FL End of stress-Anjali	15300if_26	FL	Flag leaf	FLFALS
