	Code	Benzoic acid, 4-hydroxy-	Citric acid	Glutaric acid, 2-oxo-	Isocitric acid	Malic acid	Pyruvic acid	Succinic acid	Vanillic acid	Alanine, 3-cyano-	Aspartic acid	Glutamic acid	Glutamine	Glycine	Isoleucine	Leucine	N-Carboxyglycine	Phenylalanine	Serine	Threonine	Valine	Hexadecanoic acid	Octadecanoic acid	A112003	A116014	A143003	A145016	A147011	A155004	A159003	A170001	A174001	A176001	A203003	A211001	A213001	A228001	A237001	A237002	A250001	A311002	Putrescine	Pyridine, 2-hydroxy-	Pyridine, 3-hydroxy-	Glucose-6-phosphate	Glyceric acid-3-phosphate	Glycerol-3-phosphate	Glycerophosphoglycerol	Inositol-phosphate, myo-	Phosphoric acid	Phosphoric acid monomethyl ester	Erythronic acid	Galactaric acid	Gluconic acid	Threonic acid	Arabitol	Erythritol	Glycerol	Hydroquinone	Inositol, myo-	Ribitol	4-Hydroxyphenyl-beta-glucopyranoside	Arabinose	Fructose	Glucose	Kestose, 1-	Raffinose	Sucrose
15226if_13	GNCLS	0.963665612	2.992781624	0.813499224	4.390502476	3.753408014	1.606812069	3.707413743	1.560582806	0.266087536	14.21705246	6.154334887	0.714199027	0.878928049	NA	0.705781361	1.240695354	NA	NA	10.69429392	NA	8.529947344	6.831590535	2.173236013	2.79672371	7.48819629	1.000415174	0.586520465	0.821255838	0.947577572	0.563075515	1.036470352	5.093384092	1.791419992	0.906474469	NA	3.53403074	4.05881792	4.944861389	1.993193775	1.364188949	0.694275731	2.946937299	0.467215931	8.824975196	0.49163396	17.49819362	NA	3.221996337	5.734005168	2.630420173	1.129279679	2.481139534	1.637830504	1.861231094	0.657208572	2.520005297	1.8275432	0.184794851	3.646330421	NA	0.83294008	4.886903027	6.601147615	6.031248883	4.1532455	2.624450822	14.33975307
15258if_21	GNCLS	0.83657336	3.710197134	0.638261563	5.607451554	4.592230014	1.421679883	6.406939976	1.103280357	0.126617202	5.712683315	6.007911276	0.554615661	1.644737497	0.961483577	0.654721013	1.296439013	1.380496074	3.506643095	3.152930932	9.170026051	6.220024391	5.311851058	1.765906551	1.473625343	5.074544985	0.816439404	0.316447958	0.817920074	0.629051471	0.407928707	0.758808038	2.956977706	1.299124887	0.534876556	0.316005975	3.285456298	2.873949699	4.088779568	0.116810852	1.600314912	0.376304556	1.307184733	0.475064263	9.881669489	0.386888314	9.947843055	1.480422459	2.999019569	7.721010086	3.500022911	1.165221521	0.465828591	0.448441159	1.325990602	0.255532847	1.975940996	1.846916444	0.185319898	5.822677234	1.561341396	0.694207862	0.53238454	5.201403517	6.851557025	0.96931566	1.241598335	23.95352095
15273if_7	GNCLS	0.615133779	4.321642813	0.472100381	6.65055289	6.576088505	1.704329398	5.184812019	0.728980979	0.096362068	4.196260539	6.368044096	0.552291162	1.309685422	0.907396196	1.137186463	0.158270297	0.88189157	1.756352758	1.651968854	4.77583588	5.319298054	4.39101824	2.216031741	1.875553906	4.907792072	0.595505976	0.464419402	0.683239434	0.59913441	0.413418967	0.624273333	2.312749391	1.019236023	0.479353782	0.202942904	2.415463898	2.127597849	1.324738914	0.820150427	1.015696489	0.364622447	2.007624963	0.507988939	7.354305745	0.250998721	1.21151225	0.875937214	2.050133945	8.159824812	3.861366065	1.156182091	0.954302269	1.040561526	0.999995324	0.479839244	2.48564081	2.239920197	0.164498797	5.849438762	0.664299649	0.608330491	1.809781346	12.74991109	7.75878696	1.544291973	1.722460587	33.64730413
15285if_13	GNCLS	0.756165171	3.761329419	2.027960771	6.284417597	5.36222395	3.918898155	7.161913881	4.015862135	0.161756858	3.197708764	6.194213217	2.113737216	0.997832887	1.150933786	2.98903424	1.905565172	1.732318538	2.095860661	2.422717375	12.31273412	14.47165746	12.14410127	4.615012309	4.927725384	18.20678626	NA	NA	1.593951226	2.339616972	1.355738518	1.100188652	9.093257985	3.231679451	1.316554731	0.758874212	6.724598478	7.929277292	11.09114185	NA	3.069050502	0.786507106	5.239996771	1.352200566	20.21478786	1.496893646	14.46381312	NA	NA	6.214992147	7.499147046	NA	3.659153765	3.521385648	NA	1.144720241	3.954667162	1.903617626	0.445262272	4.305499575	1.698205631	0.722389772	3.741186152	8.334171557	8.819007612	2.665154544	5.51945418	30.53338912
15294if_28	GNCLS	0.543092885	3.908523924	0.749468948	5.846459425	5.243337072	0.816426217	10.83453314	0.776550219	0.48396994	6.56535246	4.214189916	1.146132054	1.602383251	1.178664933	1.237625235	0.75481057	0.882184846	4.264084334	1.962730666	6.096690243	4.121795935	3.494519342	1.006122738	1.390922097	4.24533697	0.671602671	0.445257604	0.542919733	0.602859188	0.239648896	0.707040526	2.411268056	0.931409145	0.501486018	0.282042617	2.583295905	2.555395373	5.146779979	0.105456083	2.074065595	0.267326806	1.722544607	0.44281525	5.997697842	0.19966479	7.450809181	1.90943674	1.887041083	9.043392385	0.973731425	0.987554397	1.242488632	0.899029291	0.941335991	0.450369634	1.769670783	2.695156322	0.096884409	4.824153513	1.970324594	0.633543598	1.719721284	8.033427165	8.262437655	0.8460875	1.331881144	16.06284808
15238if_17	GNC12	0.814725156	4.061463207	1.053381936	5.359084978	4.162425081	0.876822855	4.996044562	1.169129721	0.46948069	NA	12.71173359	0.627816038	1.144852791	2.800312929	0.441025644	0.921577936	NA	NA	11.15825381	11.88153243	5.424554963	5.188795157	2.410799728	1.272865194	8.724202557	0.8965051	0.371777448	0.572229727	0.476078075	0.514191754	0.580415326	2.920014028	1.037055571	0.630036458	0.312279034	3.631866937	3.87264114	6.462533213	1.367264673	1.573091101	0.177945633	1.275652489	0.338273022	4.436963526	0.181033944	6.99803163	1.260995901	2.040189085	6.084347904	1.083538424	0.8080624	1.170135924	1.999164672	0.886563266	0.479721069	2.916897998	2.04361436	0.134639493	5.629558438	3.359845793	0.719105285	3.035168476	8.863438468	6.842146408	1.820422293	3.651184707	19.94126905
15261if_26	GNC12	0.643429503	3.380490096	0.731759172	5.137201773	4.495858727	1.186612431	5.325266462	1.757998829	0.199795471	8.445183869	3.788122078	0.916895882	1.118494694	1.592824874	1.30404143	0.897737681	2.596730006	5.322753786	2.901566575	5.764394006	4.984118285	4.483587616	2.455030221	1.616936757	5.066492943	0.500542675	0.512143423	0.501209925	0.706724319	0.408789545	0.716975007	3.021261921	0.650034143	0.443103946	0.239062558	2.735054764	2.570086426	2.785881169	0.104235314	0.894343208	0.215010409	1.823007839	0.42139342	5.099689961	0.221139026	4.268569497	0.620414625	1.294800524	7.045626168	1.791226855	0.956841117	0.458960264	0.733540292	1.110017196	0.698872942	2.633492517	2.27250398	0.124694631	3.689532194	2.285499606	0.926726794	1.203331943	5.274331744	4.327980963	0.585354605	3.182309281	22.36170491
15277if_14	GNC12	0.60089503	4.246649745	1.893600291	6.880994346	6.295306951	3.252421464	7.369347615	3.926773203	0.723729292	6.21256142	4.828378544	3.782826348	1.290733057	2.6446894	3.532645084	1.874297641	4.314972584	8.605718409	4.29484812	11.58844755	NA	NA	6.412051664	4.769104939	19.11366324	1.832008492	0.647647865	1.931632288	2.166176084	1.316695853	1.790515604	9.290268923	1.738559494	1.560558598	0.669104224	7.561682153	11.05253865	13.01908178	2.012911888	2.589215107	0.585652374	6.565824458	1.174408527	10.45184725	0.804280556	15.67167459	3.794074893	NA	9.766970275	4.540335511	2.188203736	2.625657625	3.380683397	2.846666303	2.013302355	5.680621643	1.901718054	0.105111461	5.203507628	NA	0.634826832	3.696574809	12.28224161	4.92030007	0.127422581	8.661743569	35.74919858
15288if_20	GNC12	0.634071978	3.606285349	0.640591815	5.807093535	5.318497062	1.22184973	4.800657369	1.523765877	0.212017094	3.356906617	5.380247063	1.9649338	1.349710567	0.878774308	1.194540956	0.311202967	0.919889014	1.623958209	2.647378755	11.46911916	6.062135656	6.020786653	2.768323628	2.03240079	5.946776147	0.948980595	0.215144767	0.387213532	0.487700435	0.438057321	0.479445699	2.205715311	0.745292058	0.69915764	0.148606486	2.96590066	3.681344453	13.2099627	0.312723976	0.888143916	0.233866417	1.975112547	0.43415614	10.08771193	0.370145309	4.202213136	1.291278428	2.414208817	7.88201327	3.758309122	0.9525928	0.910538216	0.70124248	0.977393669	0.476272376	1.583106444	2.066946308	0.185988932	4.591519252	3.236468148	0.681851754	0.903072271	5.253922041	5.671144948	0.544370324	2.534563503	26.22934004
15300if_12	GNC12	0.607793705	3.304371133	1.157136031	5.548508782	4.940726507	1.255108044	5.46585881	1.503429567	0.043227965	2.696670332	5.637495186	1.447968161	1.144861141	0.507133706	0.864151683	0.159377291	0.602619763	1.414333241	1.163542053	3.162286359	6.345445528	5.448831821	2.562106163	1.610412226	5.885017521	0.631664219	0.593091527	0.588442276	0.541284795	0.507416363	0.497637838	2.475721215	0.517671708	0.64501637	0.220514025	2.599817154	4.058341066	13.59046286	1.327501889	1.050473946	0.1508785	1.751799487	0.442233025	7.124642712	0.307286508	2.113979258	0.908409196	2.307136188	6.873820022	1.543586533	1.235278465	0.925347301	2.259175852	1.015361989	0.778481254	3.964163646	2.150827589	0.112718432	4.246727906	0.753130135	0.651939879	1.379914509	8.225358791	5.360495402	0.851369921	4.299875966	29.17585337
