	Code	Benzoic acid, 4-hydroxy-	Citric acid	Glutaric acid, 2-oxo-	Glycolic acid	Isocitric acid	Malic acid	Pyruvic acid	Succinic acid	Vanillic acid	Alanine, 3-cyano-	Asparagine	Aspartic acid	Butanoic acid, 4-amino-	Butyro-1,4-lactam	Glutamic acid	Glutamine	Glycine	Isoleucine	Leucine	N-Carboxyglycine	Phenylalanine	Proline	Serine	Threonine	Tyrosine	Valine	4-Hydroxybenzaldehyde	Hexadecanoic acid	Octadecanoic acid	A112003	A116014	A124002	A143003	A145008	A145016	A147011	A148006	A155004	A157012	A159003	A170001	A171003	A174001	A176001	A180002	A203003	A211001	A213001	A214003	A221004	A228001	A237001	A237002	A250001	A311002	Ornithine	Putrescine	Pyridine, 2-hydroxy-	Pyridine, 3-hydroxy-	Spermidine	Cinnamic acid, 4-hydroxy-, trans-	Ethanolaminephosphate	Glucose-6-phosphate	Glyceric acid-3-phosphate	Glycerol-3-phosphate	Glycerophosphoglycerol	Inositol-phosphate, myo-	Phosphoric acid	Phosphoric acid monomethyl ester	Erythronic acid	Galactaric acid	Galactonic acid	Gluconic acid	Glyceric acid	Threonic acid	Arabitol	Erythritol	Glycerol	Hydroquinone	Inositol, myo-	Ribitol	4-Hydroxyphenyl-beta-glucopyranoside	Arabinose	Fructose	Glucose	Kestose, 1-	Raffinose	Sucrose
16031gf_2	FNC	0.605248711	9.975688487	1.983198632	4.361387408	9.435921557	6.393959999	1.254071726	4.576976048	1.063754114	3.868501377	5.104925732	6.842167682	8.978500723	3.293648445	10.02490632	3.77914895	5.018312224	2.08692304	0.674836917	2.253913338	1.603767105	12.31993665	7.280187913	4.118586587	1.793160698	4.232893463	1.206640779	6.348569749	5.769730296	2.239946182	2.523703602	0.591398883	5.498188379	7.267842301	0.921578301	0.90342128	1.850815427	0.178684511	2.252581759	1.383450336	0.400444696	4.788183318	1.264559272	10.01018228	1.869103795	2.171543206	0.393397526	0.240143324	0.352275577	4.661986458	4.941811958	3.872048277	2.808703093	0.220746321	0.970670411	1.935112517	1.035933914	1.646462595	0.51430927	1.948175385	5.62939449	7.349814284	5.212113005	0.112812927	4.277458626	6.302155991	0.656773216	9.500681599	3.264749086	0.512221273	1.72132346	1.678934358	0.551315491	0.358408475	2.962771464	0.209452134	0.189755288	1.27076758	0.227146628	9.922007586	0.300714081	0.299796032	2.231443478	20.17827712	14.2743093	0.232123393	1.109860441	25.3589658
16032gf_41	FNC	0.995757076	10.90963276	1.926733331	4.649636548	9.330287173	5.661936822	1.422784094	5.398816575	1.384854141	3.44273039	6.044920446	5.701250885	10.79210668	3.30576698	11.80960429	10.08462901	3.794910102	1.284291769	0.615235501	2.184306994	1.794672735	9.110990134	8.431538723	4.500796109	2.264514269	5.102431164	1.051743737	6.264317555	5.58183578	2.535714948	2.241424054	1.173636117	6.354914569	6.781317063	1.354134645	1.203101347	2.42411758	0.171902089	3.154909009	1.536633883	0.412190834	5.332455135	1.274879893	9.667144776	1.978777014	2.361686501	0.36711224	0.29718721	0.327442346	5.559615706	6.093333113	4.484102607	3.175547566	0.307427528	1.451782691	1.619402071	1.020193209	2.31470395	0.556150761	3.049064634	6.2515986	7.736547623	4.033997794	0.16101981	4.747433185	7.304920851	0.967621236	8.926123074	3.898465634	0.554916111	2.021488243	2.253057827	0.383497531	0.475445284	3.208186528	0.209691901	0.163508788	1.438153046	0.231235943	10.11634531	0.400900127	0.404689481	2.514670821	19.88503111	13.73553282	0.325499548	1.755138331	20.53008897
16034gf_33	FNC	1.110069271	13.76445868	1.531718213	4.562750768	13.61477908	6.350063327	1.523861767	4.577281703	1.683283128	4.893134619	6.763583834	4.745879535	9.686401966	2.225136372	14.63045928	13.30020392	4.379194685	1.8294755	0.741956555	2.622103544	1.924538891	15.17355968	8.851246887	4.169118521	2.133634428	4.192025014	0.593553265	4.699719057	3.947349247	1.741167582	1.649913117	0.984926998	5.021954348	7.880273959	1.953766524	1.673519123	1.784569097	0.194955036	3.626975459	1.563090423	0.438852018	5.520836029	1.22808677	9.665219496	2.337769609	1.496574602	0.425895653	0.271266814	0.337719501	4.846489552	4.416861644	3.761244099	3.108919497	0.207709243	0.908884556	1.08862472	0.964498056	2.090610919	0.449560421	2.918800952	4.781191583	9.339175135	4.481079384	0.118538654	4.663759609	7.607803831	0.741332451	10.9698283	3.715569278	0.446901656	1.650426224	2.212449598	0.281435153	0.389487455	2.915294154	0.237990353	0.172737086	1.312531406	0.182874404	11.60227029	0.513438676	0.371224746	2.081264458	19.38658285	13.38375009	0.186933027	1.233009594	25.99193161
16037gf_33	FNC	1.051181745	11.62851564	2.271303789	4.848186806	10.94452086	5.705132145	1.297030036	4.159076613	1.606185307	3.381362287	5.751901289	4.497098428	8.975493664	3.014303479	10.92864613	9.299018381	5.511829295	0.967304628	0.593446481	2.375802912	1.887694455	8.164062068	7.083214865	4.041359154	2.148589495	3.979344418	0.964435403	5.40121099	4.376544741	1.834146843	2.762205676	0.725943789	5.280940131	6.111682011	0.778230145	0.681950573	1.606549793	0.150805866	4.427259478	1.99606338	0.439948452	6.72585574	1.386096755	10.70424455	0.187276135	2.152346393	0.333242808	0.28144675	0.321886576	4.97000129	4.797156576	4.079806061	2.948702893	0.439483213	1.280619782	2.019795749	0.947165442	2.601104049	0.519696172	0.749949979	5.862248891	7.19302462	3.889215047	0.156339211	4.36340297	5.527999171	0.832315987	10.77010724	3.23876538	0.465831513	1.832178481	2.322063416	0.592170189	0.348044297	2.816782607	0.230157676	0.171687906	1.436640953	0.284299957	8.343697433	0.504684941	0.506458939	2.546173537	18.04141234	15.11663734	0.223572352	0.990939519	17.61563678
16040gf_23	FNC	0.925082263	10.81648133	2.987214857	NA	10.47954022	5.126808477	1.299105432	6.048295306	1.918434825	NA	24.55609003	2.052506872	55.59064017	6.798834227	10.38481641	NA	6.086847931	1.497212778	0.599792156	3.113860726	2.904352661	9.982198348	NA	7.685004879	9.96731034	4.151112705	1.724713168	6.939513412	6.716273619	2.197602601	2.748202945	2.845051507	6.910006163	12.07739174	1.8298647	1.595695674	1.990517038	0.480418395	NA	2.245460437	0.647912795	NA	0.576862217	20.52613025	2.477439966	11.15487881	0.31752048	0.48228727	0.47856503	12.48474344	10.83041397	8.793119303	2.798106304	0.391262523	1.793317954	4.102346011	4.419207761	2.599091333	0.776335592	1.316286805	12.54410222	9.024972052	3.804792571	0.198750462	5.753925781	NA	0.973157474	9.653086962	5.152116795	0.626419503	3.281622195	2.566836662	1.237351667	2.094930201	8.76004855	0.127901826	0.313599702	1.689315007	0.293135997	8.683906095	0.764039939	0.489314694	2.919201985	16.2507737	14.75679461	0.154686196	0.167293423	18.9691703
16028gf_42	FNES	0.880940247	8.767672226	1.671674388	4.765340854	7.978765783	6.936491465	1.567181716	5.378969839	1.373452242	7.558015284	8.19991852	5.04247036	10.80024839	3.380705916	10.70197928	11.33983466	3.885806172	2.39711164	0.822268953	1.935109323	3.093040515	10.05924472	9.054985777	6.136677151	3.195142419	6.821610252	1.023573063	5.444875688	5.671007301	1.777238236	2.176777419	1.156777353	6.461313104	7.906015198	1.652511768	1.478864516	1.39000166	0.294094764	6.613148444	2.311891413	0.495546773	4.828068926	1.494329332	10.27696902	2.188962427	2.311649288	0.473184015	0.342568828	0.418156448	5.797406383	5.409949527	5.200076773	3.45670047	0.387393259	1.990225242	2.39376557	1.226690941	1.843793898	0.433933703	4.503933305	5.26683103	8.371673724	3.971527796	0.259441348	5.945784103	7.238454862	0.96263573	10.33491821	6.304328514	0.710921171	2.316131004	2.375506147	1.029892658	0.419634254	2.745840992	0.22534636	0.248295096	1.619868664	0.274732441	9.850433953	0.689330026	0.308840037	2.824590325	24.67847609	16.67854914	0.421849044	2.395147477	19.5273697
16032gf_32	FNES	1.06025136	11.86099094	1.697232075	4.406610752	10.58193712	6.561424674	1.389562543	5.608088164	1.944441059	6.820337443	8.052821185	5.07232045	12.00199781	3.165668187	12.6248494	9.193409211	3.732194665	1.575803803	0.72941501	1.650972879	2.074482899	9.04886465	10.26900035	5.60797338	2.746454592	5.321415579	0.869186803	5.479918038	6.258542353	2.120509731	2.440731812	0.576355459	5.339841141	6.533857723	0.647319373	0.541967564	1.153063413	0.252274008	4.797538747	1.84414344	0.507355369	4.760804043	1.093634496	10.02365551	3.016261004	2.453959061	0.446920463	0.285035503	0.34854471	8.607456174	5.565994173	5.497096184	3.809968673	0.339861639	1.696656831	1.956649194	1.079446462	1.949168725	0.460042036	5.7684787	5.172175804	7.266769821	4.123041947	0.171817117	6.122346282	8.596845728	0.763797922	8.692467796	3.311842016	0.617712964	2.241558159	1.798065794	1.196757735	0.307851112	2.465170221	0.223679354	0.217306104	1.67554993	0.298933581	9.598932137	0.675322889	0.319588845	2.071977292	17.74438457	14.52171287	0.344547842	2.231175973	21.6218844
16034gf_24	FNES	2.010314076	11.55214834	0.966511134	4.205614533	10.32213439	10.06205722	1.302740786	5.966043753	3.833309743	9.719936217	8.94137785	4.445023891	28.07888979	3.968876982	11.92312958	14.2858871	6.448203713	2.500631457	0.962468455	1.904289609	2.546962164	16.302769	11.65648803	6.403576891	3.069663709	7.203914316	1.222760671	4.365610039	4.215994531	1.513398552	2.675422259	1.307673829	5.496801129	6.547409665	1.09034778	1.019990464	0.820774273	0.347492725	4.82075727	1.776462278	0.526466303	4.88856332	1.360059557	10.33428505	2.536103164	3.72083637	0.428851411	0.391011864	0.384628686	6.039023119	4.591720232	5.052647879	3.927777673	0.279221066	1.859069093	2.656782464	1.314385397	1.514831106	0.459006369	4.059341525	5.166208578	6.008507834	2.66390051	0.147841413	7.654882209	6.78123998	2.088932664	17.02942126	4.529103931	1.360159742	2.118906506	2.352422007	1.307468457	0.681490918	2.060375775	0.220108339	0.251057011	4.478653023	0.239304058	13.7756444	0.627271806	0.345758942	3.759777003	42.44496437	32.24188385	0.739613518	1.7915921	22.78087436
16037gf_24	FNES	1.324632075	13.36594682	1.678169155	3.911394867	11.29581586	6.516603123	1.802866703	5.739394369	1.980430104	11.58844063	9.287244659	6.99804968	12.1201756	4.658275972	11.81716272	9.850927542	3.1928114	1.875338363	0.827167455	1.884351111	2.282242621	10.72133157	10.1587025	5.978049313	2.843851762	5.26217679	1.349117726	6.164532723	5.745845525	2.520346637	3.056986939	0.723461389	6.782392819	8.009972565	1.013054197	0.893652857	1.6014848	0.350931869	5.089333192	2.544642191	0.628247261	5.29014605	1.598227431	11.73872906	3.422759219	2.52667334	0.552574516	0.351938878	0.389506399	6.953233057	5.971657124	5.991986584	3.970155904	0.297102167	1.681899713	2.422982948	1.429671989	2.069299091	0.600998509	4.963283638	5.330007028	8.144735463	3.970648602	0.178150886	8.014021204	6.996558477	0.888677134	8.793928306	4.672132405	0.674767395	2.435003511	2.24621031	0.562516492	0.470392085	3.007800396	0.260123962	0.283930692	1.95829997	0.471363845	11.57234484	0.591795814	0.374568631	2.848741682	19.46961783	15.58259419	0.375933548	1.811484453	17.2532097
16040gf_14	FNES	2.591659673	10.06408427	2.192203918	2.90636811	3.220154165	5.837960131	1.196458522	4.043337852	2.253650184	0.23180551	0.677927227	4.535788205	2.641480989	3.408008496	5.387653772	2.620838488	2.864317905	0.52567122	0.38790272	0.350109911	0.229557482	10.36915921	0.505021671	0.472739209	0.224983892	1.842062469	4.173990972	4.822423103	4.569177473	2.439386005	2.011419743	1.18979327	4.728591837	1.870866437	0.556230296	0.387161298	0.747095033	0.930198225	1.144246041	0.599139978	0.447745554	0.482206908	0.284044195	4.184510692	0.423027498	1.306806751	0.422575664	0.339683872	0.264199214	1.835841263	2.795997222	6.271720493	4.127767524	0.405904934	1.033676574	0.351518944	0.122567007	1.398180944	0.565295019	1.262461094	2.682229739	1.468583634	3.126959804	0.098645714	5.380157356	2.203155652	0.803949614	9.325174754	2.098244485	1.492850975	1.361100023	5.352257173	2.909210106	0.160478622	1.602158704	NA	NA	13.58448215	2.475126695	8.482789404	1.065478342	6.644687302	1.546579339	17.55465693	14.44895209	0.524379376	3.566573425	16.53958968
