ID	Treatment	Timepoint	Cultivar	Description	Code	Batch	Sequence
14054if_38	Control	FL	N22	Leaf_N22 Control FL_End of stress	FNC	14054if	38
14061if_27	Control	FL	N22	Leaf_N22 Control FL_End of stress	FNC	14061if	27
14069if_20	Control	FL	N22	Leaf_N22 Control FL_End of stress	FNC	14069if	20
14079if_60	Control	FL	N22	Leaf_N22 Control FL_End of stress	FNC	14079if	60
14088if_45	Control	FL	N22	Leaf_N22 Control FL_End of stress	FNC	14088if	45
14054if_31	Heat & drought	FL Early stress	N22	Leaf_N22 Heat & drought EGF_00d_Start of stress	FNES	14054if	31
14061if_20	Heat & drought	FL Early stress	N22	Leaf_N22 Heat & drought EGF_00d_Start of stress	FNES	14061if	20
14069if_13	Heat & drought	FL Early stress	N22	Leaf_N22 Heat & drought EGF_00d_Start of stress	FNES	14069if	13
14079if_53	Heat & drought	FL Early stress	N22	Leaf_N22 Heat & drought EGF_00d_Start of stress	FNES	14079if	53
14088if_38	Heat & drought	FL Early stress	N22	Leaf_N22 Heat & drought EGF_00d_Start of stress	FNES	14088if	38
14054if_9	Heat & drought	FL Late stress	N22	Leaf_N22 Heat & drought FL_End of stress	FNLS	14054if	9
14057if_47	Heat & drought	FL Late stress	N22	Leaf_N22 Heat & drought FL_End of stress	FNLS	14057if	47
14064if_40	Heat & drought	FL Late stress	N22	Leaf_N22 Heat & drought FL_End of stress	FNLS	14064if	40
14079if_31	Heat & drought	FL Late stress	N22	Leaf_N22 Heat & drought FL_End of stress	FNLS	14079if	31
14088if_16	Heat & drought	FL Late stress	N22	Leaf_N22 Heat & drought FL_End of stress	FNLS	14088if	16
14050if_35	Heat & drought	FL 12h Rewatering	N22	Leaf_N22 Heat & drought FL Rewatering 12h	FNR12	14050if	35
14057if_20	Heat & drought	FL 12h Rewatering	N22	Leaf_N22 Heat & drought FL Rewatering 12h	FNR12	14057if	20
14064if_13	Heat & drought	FL 12h Rewatering	N22	Leaf_N22 Heat & drought FL Rewatering 12h	FNR12	14064if	13
14069if_54	Heat & drought	FL 12h Rewatering	N22	Leaf_N22 Heat & drought FL Rewatering 12h	FNR12	14069if	54
14084if_39	Heat & drought	FL 12h Rewatering	N22	Leaf_N22 Heat & drought FL Rewatering 12h	FNR12	14084if	39
14050if_38	Heat & drought	FL 36h Rewatering	N22	Leaf_N22 Heat & drought FL Rewatering 36h	FNR36	14050if	38
14057if_23	Heat & drought	FL 36h Rewatering	N22	Leaf_N22 Heat & drought FL Rewatering 36h	FNR36	14057if	23
14064if_16	Heat & drought	FL 36h Rewatering	N22	Leaf_N22 Heat & drought FL Rewatering 36h	FNR36	14064if	16
14069if_57	Heat & drought	FL 36h Rewatering	N22	Leaf_N22 Heat & drought FL Rewatering 36h	FNR36	14069if	57
14084if_42	Heat & drought	FL 36h Rewatering	N22	Leaf_N22 Heat & drought FL Rewatering 36h	FNR36	14084if	42
14054if_46	Heat & drought	FL 60h Rewatering	N22	Leaf_N22 Heat & drought FL Rewatering 60h	FNR60	14054if	46
14061if_35	Heat & drought	FL 60h Rewatering	N22	Leaf_N22 Heat & drought FL Rewatering 60h	FNR60	14061if	35
14069if_28	Heat & drought	FL 60h Rewatering	N22	Leaf_N22 Heat & drought FL Rewatering 60h	FNR60	14069if	28
14084if_14	Heat & drought	FL 60h Rewatering	N22	Leaf_N22 Heat & drought FL Rewatering 60h	FNR60	14084if	14
14088if_53	Heat & drought	FL 60h Rewatering	N22	Leaf_N22 Heat & drought FL Rewatering 60h	FNR60	14088if	53
14050if_31	Control	FL	Dular	Leaf_Dular Control FL_End of stress	FDC	14050if	31
14057if_16	Control	FL	Dular	Leaf_Dular Control FL_End of stress	FDC	14057if	16
14064if_9	Control	FL	Dular	Leaf_Dular Control FL_End of stress	FDC	14064if	9
14069if_50	Control	FL	Dular	Leaf_Dular Control FL_End of stress	FDC	14069if	50
14084if_35	Control	FL	Dular	Leaf_Dular Control FL_End of stress	FDC	14084if	35
14050if_24	Heat & drought	FL Early stress	Dular	Leaf_Dular Heat & drought EGF_00d_Start of stress	FDES	14050if	24
14057if_9	Heat & drought	FL Early stress	Dular	Leaf_Dular Heat & drought EGF_00d_Start of stress	FDES	14057if	9
14061if_50	Heat & drought	FL Early stress	Dular	Leaf_Dular Heat & drought EGF_00d_Start of stress	FDES	14061if	50
14069if_43	Heat & drought	FL Early stress	Dular	Leaf_Dular Heat & drought EGF_00d_Start of stress	FDES	14069if	43
14084if_28	Heat & drought	FL Early stress	Dular	Leaf_Dular Heat & drought EGF_00d_Start of stress	FDES	14084if	28
14054if_39	Heat & drought	FL Late stress	Dular	Leaf_Dular Heat & drought FL_End of stress	FDLS	14054if	39
14061if_28	Heat & drought	FL Late stress	Dular	Leaf_Dular Heat & drought FL_End of stress	FDLS	14061if	28
14069if_21	Heat & drought	FL Late stress	Dular	Leaf_Dular Heat & drought FL_End of stress	FDLS	14069if	21
14084if_7	Heat & drought	FL Late stress	Dular	Leaf_Dular Heat & drought FL_End of stress	FDLS	14084if	7
14088if_46	Heat & drought	FL Late stress	Dular	Leaf_Dular Heat & drought FL_End of stress	FDLS	14088if	46
