	Code	Benzoic acid, 4-hydroxy-	Citric acid	Glutaric acid, 2-oxo-	Isocitric acid	Malic acid	Pyruvic acid	Succinic acid	Vanillic acid	Alanine, 3-cyano-	Aspartic acid	Glutamic acid	Glutamine	Glycine	Isoleucine	Leucine	N-Carboxyglycine	Phenylalanine	Serine	Threonine	Valine	Hexadecanoic acid	Octadecanoic acid	A112003	A116014	A143003	A145016	A147011	A155004	A159003	A170001	A174001	A176001	A203003	A211001	A213001	A228001	A237001	A237002	A250001	A311002	Putrescine	Pyridine, 2-hydroxy-	Pyridine, 3-hydroxy-	Glucose-6-phosphate	Glyceric acid-3-phosphate	Glycerol-3-phosphate	Glycerophosphoglycerol	Inositol-phosphate, myo-	Phosphoric acid	Phosphoric acid monomethyl ester	Erythronic acid	Galactaric acid	Gluconic acid	Threonic acid	Arabitol	Erythritol	Glycerol	Hydroquinone	Inositol, myo-	Ribitol	4-Hydroxyphenyl-beta-glucopyranoside	Arabinose	Fructose	Glucose	Kestose, 1-	Raffinose	Sucrose
16028gf_11	GNC36	0.858468251	2.838795826	0.781526158	4.596786912	4.150775338	1.275313478	4.338358586	1.652482856	0.075588903	2.931772709	3.228345383	0.547902078	0.724661709	0.328364307	0.534951176	0.226159035	0.258413343	0.418451641	0.649279266	2.657724924	5.536901755	3.99425329	3.342091216	1.93858364	5.357196926	0.350968341	0.203724879	0.519022116	0.361921059	0.308171599	0.305184393	1.855751741	0.293382324	0.644080805	0.157802066	2.205195396	3.793113277	5.331362298	0.571205844	0.592393284	0.041932027	1.628080298	0.454213661	3.814225915	0.23344263	2.739583058	0.710256159	1.054062631	5.719318979	2.373692635	0.765769427	0.603036313	1.918915078	0.823003809	0.409775205	3.460562327	1.106120046	0.165951928	2.413680307	0.257781116	0.392082268	0.607326546	1.791344372	1.707515138	0.033321704	8.447193402	15.92494098
16032gf_7	GNC36	0.799043502	3.165191902	0.985495991	5.135601746	5.057158564	1.185099126	4.647641271	1.730194502	0.153294949	3.9451218	3.631981016	0.633490347	0.760641343	0.440377694	0.559918592	0.191598404	0.225461089	0.309222764	0.611091843	2.367413569	5.353981298	5.134055386	1.721590018	2.155806553	6.109081538	0.396252919	0.223839806	0.685480486	0.568268487	0.333934933	0.474736146	2.204413122	0.229926478	0.596801611	0.173645302	3.022604618	4.044554396	5.556002095	0.685623335	0.633916255	0.065971547	1.63151744	0.412661478	3.404368188	0.263684751	3.425070055	0.638453519	0.866757988	7.805393452	2.672615087	0.828916838	0.707739217	2.823440242	0.932069483	0.614311091	4.241216312	1.838961252	0.110731833	1.890072784	0.251099861	0.387908152	0.923020976	1.23470929	0.794869916	0.375221768	8.470231097	18.77702257
16032gf_52	GNC36	0.619354165	3.375168066	0.659201547	6.75810269	5.305776886	1.518289392	3.345077151	1.091341529	0.038889728	2.008822427	3.696791988	0.529017938	0.609708727	0.364057299	0.746092848	0.200722581	0.520155995	0.593695544	0.607465123	2.484755905	4.889655733	3.794014909	2.377815863	1.227913332	4.014526863	0.462145839	0.234981001	0.539079899	0.543206726	0.419146474	0.447811258	2.196829016	0.239436324	0.497349788	0.116531315	2.341473701	3.155108016	3.89303865	0.424827043	0.536803124	0.072112167	1.839618436	0.329735498	4.214466176	0.526176495	3.163716102	0.626383028	0.805451877	7.074135156	1.742089064	0.680819281	0.682730335	0.823045377	0.762565939	0.333345485	2.413509777	1.226002093	0.118587521	3.071421575	0.220707983	0.712489903	0.62842764	1.416761333	1.535957735	0.344976863	5.361526564	22.19540231
16034gf_70	GNC36	0.626003087	2.620253395	0.91301837	5.976183785	4.404303116	1.433721007	4.655833625	1.054603522	0.088882672	3.370148187	3.869551153	0.494727094	0.954452782	0.355431177	0.814670507	0.342617746	0.340956743	0.221939095	0.801189441	2.902935046	5.328808961	4.155821215	3.529248635	1.81183177	6.095497203	0.393615891	0.228597875	0.606859407	0.687489656	0.523115498	0.622416177	2.548458041	0.374038752	0.527922626	0.163345173	2.816638881	2.89429449	3.684839661	0.428084437	0.668546531	0.071502175	1.956738276	0.447599784	5.14699322	0.442187247	2.937487841	0.793012574	1.198936502	5.501692536	2.144694229	0.824380636	0.663109211	2.285430312	1.123666386	0.412361794	3.839369461	1.680663607	0.190765211	3.583235418	0.202433343	0.603766116	0.902676904	3.843482329	2.566542198	0.535874167	5.759719242	13.37221504
16039gf_11	GNC36	0.636332205	3.248974521	0.655016032	6.543244344	4.709935767	1.403969388	3.371128104	1.314235061	0.10043374	2.5883636	4.572865351	0.613382255	0.667721257	0.347998183	0.675179124	0.308454099	0.483699022	0.294378637	0.701751439	2.648310653	5.468301837	4.864379882	2.368716609	1.558538378	4.609666302	0.402793124	0.237201933	0.578056024	0.509597488	0.455880256	0.509587611	2.651032936	0.242821172	0.56865068	0.137875905	2.666700063	3.375295007	4.496684686	0.480449636	0.477630458	0.073829405	1.830224792	0.367940495	5.465889311	0.355378889	3.621436439	0.695711646	1.682670161	7.320407905	1.606875799	0.688762427	0.737709311	1.131073401	0.896437653	0.538173784	3.68252549	1.690914918	0.135464286	2.454326154	0.277191481	0.512456111	0.741592893	1.625501488	1.156251934	0.353564456	5.956166999	24.40212146
16028gf_34	GNC60	1.006940412	2.832114026	1.56728447	4.881275771	4.058504262	0.832720244	8.014076045	1.778929246	0.048989879	3.501085523	4.076600794	0.836005631	0.683125435	0.34841233	0.747513227	0.340061331	0.358004579	0.264119756	0.659088185	2.507793271	6.564328429	6.790216302	2.557654936	2.292685644	7.151482831	0.389586222	0.254786557	0.678587605	0.682150277	0.455009175	0.579718863	2.798840603	0.798340418	0.802334561	NA	3.356723096	5.540849555	5.948657792	0.696534969	3.008790505	0.059768037	2.212484714	0.441997345	1.562282935	0.094416341	4.001796545	1.117109979	2.103668174	10.18455664	2.810883948	0.86785712	0.807210338	7.061275191	1.166698861	0.791851967	4.828043487	7.646118884	0.195359834	3.744132493	0.325552311	0.404949454	2.737169311	7.16869269	5.344065884	NA	9.712645197	24.50922155
16032gf_24	GNC60	0.92219764	2.907974036	0.917155304	4.565296944	2.814553497	0.943258847	5.195400627	1.574239782	0.056445695	2.961545058	3.960172343	0.563407399	0.530827381	0.289150129	0.564159595	0.404637132	0.315810644	0.204787653	0.471222784	2.085823287	5.507488269	4.808802859	2.521046979	2.653571279	5.840693239	0.371849419	0.208600784	0.616140018	0.513170053	0.313309565	0.389625174	1.945240092	0.285346877	0.641420028	0.347811864	2.620143728	3.943202502	5.139352909	0.593660662	0.800362573	0.040837774	1.915257195	0.431230141	2.374640356	0.143961073	3.729389001	0.784705098	2.097729673	5.404276236	1.956463318	0.683343534	0.620159173	2.613817774	0.761260351	0.889021367	3.593154008	3.212172658	0.197280233	1.94311082	0.347699291	0.356645165	1.143556558	1.922377488	1.790696936	1.079946046	9.429304814	18.40953794
16034gf_16	GNC60	1.18741711	2.854117192	0.49507752	4.085209129	2.653275045	0.713937884	4.494540339	2.399887254	0.048891283	2.754357293	3.017265099	0.585911095	0.627743934	0.283879591	0.845964591	0.353948353	0.609807599	0.264406457	0.673799159	2.319364802	4.635581348	4.565432493	1.430101078	1.215574447	5.07949982	0.399996605	0.218767627	0.499701087	0.40122079	0.319252035	0.3706232	1.845759426	0.963455463	0.751806039	0.74068662	2.319226589	4.866430811	4.979590363	0.817353781	NA	0.035423345	1.492811041	0.312635616	0.376755443	0.029282328	3.134056288	1.133908035	1.082624435	9.043730365	1.550045507	0.609963074	0.641391558	5.337219397	0.653298757	0.500316674	4.151481775	12.09735048	0.13949514	3.591211018	0.245241061	0.386679445	2.375381719	NA	8.095920004	2.101027992	7.874593315	15.21550121
16037gf_16	GNC60	0.768892917	2.598641688	0.591474387	3.483262713	1.900668833	0.897415002	3.797577468	1.273414199	0.034613661	3.038716042	3.864940091	0.588910561	0.589811908	0.23676634	0.531009768	0.227975636	0.300033248	0.235047954	0.423629536	2.023755534	5.548082089	5.119785418	2.271584036	1.555483475	5.586655949	0.319502505	0.188051378	0.505830316	0.411866307	0.278497552	0.362176546	1.648776454	0.390620135	0.652833376	0.380013129	2.334350993	4.122019937	4.726051983	0.516802706	0.831360865	0.031907709	1.658919662	0.376148037	1.675493142	0.091450442	2.999961017	0.550936192	2.131637438	5.662232063	1.535963109	0.69222451	0.649650467	3.716095414	0.714727455	0.743640786	4.333104427	3.698491748	0.149299092	1.998659515	0.286861987	0.381676131	1.218381492	2.287029962	2.31095259	1.234952898	9.078454665	20.53822074
16040gf_6	GNC60	2.920018539	NA	0.630599161	NA	1.666683623	2.445203146	1.565551229	2.380233336	0.3753029	4.129786576	3.42583937	0.082400349	0.594095616	0.406055088	1.567130371	0.578489963	0.637632591	0.218423987	0.787385644	2.685125083	NA	NA	NA	NA	NA	0.617150423	0.259728472	0.607156475	0.444613031	0.810089745	1.025962128	2.922751879	0.259221142	0.213100991	0.162476519	2.610589882	3.228422686	6.510649943	0.376755336	0.490964285	0.181466797	NA	NA	3.787810876	0.191328317	4.076802935	0.476798732	0.897826913	5.334100277	3.239309529	0.660903691	0.55026197	2.221739229	1.070891044	1.017854796	2.711376304	3.882369806	0.379926004	1.629591952	0.238317077	1.515879566	2.369788086	1.333553996	1.180220288	0.413884172	2.580451295	18.95297901
