Class	Name	MPIMP-ID	Spikelet_N22 Control FL_End of stress	Spikelet_N22 Control FL_End of stress	Spikelet_N22 Control FL_End of stress	Spikelet_N22 Control FL_End of stress	Spikelet_N22 Control FL_End of stress	Spikelet_N22 Heat & drought EGF_00d_Start of stress	Spikelet_N22 Heat & drought EGF_00d_Start of stress	Spikelet_N22 Heat & drought EGF_00d_Start of stress	Spikelet_N22 Heat & drought EGF_00d_Start of stress	Spikelet_N22 Heat & drought EGF_00d_Start of stress	Spikelet_N22 Heat & drought FL_End of stress	Spikelet_N22 Heat & drought FL_End of stress	Spikelet_N22 Heat & drought FL_End of stress	Spikelet_N22 Heat & drought FL_End of stress	Spikelet_N22 Heat & drought FL_End of stress	Spikelet_N22 Heat & drought FL Rewatering 12h	Spikelet_N22 Heat & drought FL Rewatering 12h	Spikelet_N22 Heat & drought FL Rewatering 12h	Spikelet_N22 Heat & drought FL Rewatering 12h	Spikelet_N22 Heat & drought FL Rewatering 12h	Spikelet_N22 Heat & drought FL Rewatering 36h	Spikelet_N22 Heat & drought FL Rewatering 36h	Spikelet_N22 Heat & drought FL Rewatering 36h	Spikelet_N22 Heat & drought FL Rewatering 36h	Spikelet_N22 Heat & drought FL Rewatering 36h	Spikelet_N22 Heat & drought FL Rewatering 60h	Spikelet_N22 Heat & drought FL Rewatering 60h	Spikelet_N22 Heat & drought FL Rewatering 60h	Spikelet_N22 Heat & drought FL Rewatering 60h	Spikelet_Dular Control FL_End of stress	Spikelet_Dular Control FL_End of stress	Spikelet_Dular Control FL_End of stress	Spikelet_Dular Control FL_End of stress	Spikelet_Dular Control FL_End of stress	Spikelet_Dular Heat & drought EGF_00d_Start of stress	Spikelet_Dular Heat & drought EGF_00d_Start of stress	Spikelet_Dular Heat & drought EGF_00d_Start of stress	Spikelet_Dular Heat & drought EGF_00d_Start of stress	Spikelet_Dular Heat & drought EGF_00d_Start of stress	Spikelet_Dular Heat & drought FL_End of stress	Spikelet_Dular Heat & drought FL_End of stress	Spikelet_Dular Heat & drought FL_End of stress	Spikelet_Dular Heat & drought FL_End of stress	Spikelet_Dular Heat & drought FL Rewatering 12h	Spikelet_Dular Heat & drought FL Rewatering 12h	Spikelet_Dular Heat & drought FL Rewatering 12h	Spikelet_Dular Heat & drought FL Rewatering 12h	Spikelet_Dular Heat & drought FL Rewatering 12h	Spikelet_Dular Heat & drought FL Rewatering 36h	Spikelet_Dular Heat & drought FL Rewatering 36h	Spikelet_Dular Heat & drought FL Rewatering 36h	Spikelet_Dular Heat & drought FL Rewatering 36h	Spikelet_Dular Heat & drought FL Rewatering 36h	Spikelet_Dular Heat & drought FL Rewatering 60h	Spikelet_Dular Heat & drought FL Rewatering 60h	Spikelet_Dular Heat & drought FL Rewatering 60h	Spikelet_Dular Heat & drought FL Rewatering 60h	Spikelet_Dular Heat & drought FL Rewatering 60h	Spikelet_Anjali Control FL_End of stress	Spikelet_Anjali Control FL_End of stress	Spikelet_Anjali Control FL_End of stress	Spikelet_Anjali Control FL_End of stress	Spikelet_Anjali Control FL_End of stress	Spikelet_Anjali Heat & drought EGF_00d_Start of stress	Spikelet_Anjali Heat & drought EGF_00d_Start of stress	Spikelet_Anjali Heat & drought EGF_00d_Start of stress	Spikelet_Anjali Heat & drought EGF_00d_Start of stress	Spikelet_Anjali Heat & drought EGF_00d_Start of stress	Spikelet_Anjali Heat & drought FL_End of stress	Spikelet_Anjali Heat & drought FL_End of stress	Spikelet_Anjali Heat & drought FL_End of stress	Spikelet_Anjali Heat & drought FL_End of stress	Spikelet_Anjali Heat & drought FL_End of stress	Spikelet_Anjali Heat & drought FL Rewatering 12h	Spikelet_Anjali Heat & drought FL Rewatering 12h	Spikelet_Anjali Heat & drought FL Rewatering 12h	Spikelet_Anjali Heat & drought FL Rewatering 12h	Spikelet_Anjali Heat & drought FL Rewatering 12h	Spikelet_Anjali Heat & drought FL Rewatering 36h	Spikelet_Anjali Heat & drought FL Rewatering 36h	Spikelet_Anjali Heat & drought FL Rewatering 36h	Spikelet_Anjali Heat & drought FL Rewatering 36h	Spikelet_Anjali Heat & drought FL Rewatering 36h	Spikelet_Anjali Heat & drought FL Rewatering 60h	Spikelet_Anjali Heat & drought FL Rewatering 60h	Spikelet_Anjali Heat & drought FL Rewatering 60h	Spikelet_Anjali Heat & drought FL Rewatering 60h	Spikelet_Anjali Heat & drought FL Rewatering 60h
Acids	Gulonic acid, 2-oxo-	A186001-101	5.120395248		6.00681569	4.737335706							5.962266444	6.570762245		4.412066839					3.623423111	6.062314822																					5.637528678			5.580506992		9.73621337	4.689714343																						5.533783087	4.427064048	7.00371421			3.485453733				3.516915225										
Acids	Isocaproic acid, 2-oxo-	A127007-101	10.95603396		9.700621731	6.266944784	9.396328094						5.845272941	6.847331753			6.900903827																																																						37.9333683	7.364848772	8.154094857																	
Acids	Isocitric acid	A182003-101	8.944590505	9.093530682	11.39601427	7.886751836	8.646081473	10.19512081	13.57122335	11.82261869	10.36276401	15.53313048	7.941453438	8.505950102	8.09812278	10.07214664	7.36334911	10.68782303	11.00023855	12.39719965	10.07083117	9.0705101	12.091178	9.245336958	10.90148488	9.276684313	9.846343452	7.390937973	10.37386779	10.50594571	9.754319155	15.92315669	8.571848538	11.83059305	9.713637763	7.590714142	9.547010071	8.678875289	12.8394039	8.741323622	12.80596027	7.374456593	8.33196534	7.765249395	7.673570059	11.28302051	8.00144209	19.13888595	7.951738905	9.092131312	8.125666512	8.292114285	9.271844759	9.180669674	9.798400157	8.737302153	7.565267874	8.024371026	8.916459336	8.326243345	8.127468039	8.147272631	8.058546567	9.484421456	9.225387735	8.809047058	17.91558078	9.893673452	15.64586907	14.67295901	34.59045586	6.836806046	7.099929711	9.113094291	7.230389047	9.020135504	7.912600615	8.802293943	8.741448514	8.731518583	8.858065775	14.20585811	9.715612954	10.84098789	7.816224238	10.58137468	8.006808701	8.296192663	8.207743875	9.049239904
Acids	Lactic acid	A105001-101	4.476326926	4.789657822	6.476208151	4.642195264	9.698915239	2.258614117	2.894889688	3.433402528	2.203832173	2.556681856	1.641079864	1.583679126	1.538745991	2.025540399	2.626186243	4.596473563	2.462573447	5.614014468	2.409526024	5.524388738	2.062216202	1.98675902	2.137466681	4.692494688	4.81236863	1.40191724	3.217846266	3.433662934	5.920272037	2.09144483	2.033735233	2.512392795	2.66784618	5.325901388	3.481499817	2.620702967	5.55290521	3.239792288	2.266351293	2.125461569	3.305064896	2.942367768	4.764453112	4.042545366	2.745306333	16.07811242	5.332340888	5.811406283	1.686628228	1.17230534	2.726139233	2.494161925	5.226427848	4.536961782	2.790881308	2.529187379	1.608583027	4.154625141	2.992182207	2.37731254	2.84045898	2.479830263	3.053110108	2.487517357	1.374223779	2.185040252	8.736656242	4.092497713	4.727188829	1.559278899	2.49398729	1.72955973	5.506203888	1.3518484	1.903117387	2.436910383	2.051506674	5.776633668	2.073941561	3.164061263	3.975499773	1.812661918	3.043157912	2.281277803	3.524895511	6.119618753	4.141265625	9.463986388
Acids	Malic acid	A149001-101	5.520734627	4.452266437	4.513719588	4.883354631	5.909670585	5.850143353	4.713340885	4.319217361	5.086039943	5.209775383	5.970054101	6.447095756	6.810991876	5.771192354	7.206513243	12.94298739	6.021712562	9.566159	11.34678852	8.005499711	5.194854421	5.636886165	5.047358823	5.271862156	6.158076227	5.452628787	6.259277832	6.059481671	6.517187503	6.663143761	5.539263725	5.902563553	5.803402501	4.6965108	4.964957435	4.931173154	5.740111943	5.627774291	5.516057267	7.678320265	8.211628343	7.556881987	8.314606981	12.32764716	9.387961052	9.292191795	9.124955275	10.16432079	10.65801205	10.26765254	9.923702776	8.596709801	6.085365315	7.950201253	4.607428057	6.002045148	6.451360697	9.260349937	5.979594167	5.810743838	6.536837009	6.226883398	5.341393065	6.177371178	6.982611326		6.11074387	5.043743047	6.744840573	6.148513268	6.5092418	7.519471807	7.959817811	11.90017369	8.900697437	10.1510822	9.593085624	8.018455973	6.467883428	5.850728164	7.217751956	7.087447817	6.666313347	6.877552402	7.523649903	5.796424777	6.275373547	6.444524416
Acids	Malic acid, 1-methylester	A139020-101					3.209909773			4.382734085										5.313930475						3.582029599				3.909872401															4.535209983		3.292077739		4.101349458	5.683612142	3.78514504	2.948706471		4.344559372	4.339692206	4.669244846			4.290134164																3.616716072	3.937210083											3.86962024			
Acids	Malonic acid	A122003-101	3.431100947	2.169884876		1.617995242	2.169852987		2.828453092	6.604152025			2.212404382	3.858725264			2.480882034	1.711538916	1.87292714		1.628132064						1.710038091		2.117183143	2.313535808			2.619658476	3.789090736	4.912446304		4.102902268	1.937106854	2.448780702	3.682489556	1.99212648	8.129044562	2.495254356		3.571094029	3.215125689	5.231568291		1.533013181	2.982937468	1.815100851	2.189227548	1.791604543	4.854497809	2.532638749	2.754904872	2.176433338		2.384022942	2.061036429	2.119540294	2.744882747			1.953539931							2.67168907	2.65021404	3.027191704		3.302475821	1.832959814	1.674901229	3.119485689		1.324909181	3.526283956			2.449693419	2.573643772				
Acids	Oxalic acid	A113002-101	0.321350967	0.481434515	0.769026702	0.333158523	0.61235855	0.338211743	0.772918807	0.701799619	0.411725105	0.570391014	0.447946587	0.382624438	0.463677843	0.601851287	0.288067151	0.276278939	0.473778146	0.543216549	0.473878725	0.196793873	0.173812903	0.507509559	0.422992998	0.316717291	0.652411149	0.35171968	0.509037741	0.374352646	0.650014113	0.938491081	0.735833866	0.733299392	0.857956046	0.779944729	0.909762242	0.904321716	0.525594149	0.822840203	0.404068294	0.385092485	0.931029731	0.899341281	0.428676121	0.314942522	0.415485778	0.828480783	0.360568895	0.725017224	0.502847828	0.915501819	0.472191129	1.119566189	1.002292719	0.531424669	0.604776953	0.509132796	0.744977823	0.401565252	0.724468443	0.633995659	0.620872203	0.821275107	0.590665204	0.601178507	0.465547094	0.406918733	0.404396127	0.430484061	1.953846832	0.580256084	0.336735703	0.25513561	0.520400632	0.556980474	0.540973562	0.426647955	0.585148411	0.559953298	0.370817314	0.914243001	0.611070753	0.629011939	0.346751998	0.353366114	0.671140442	0.786587252	0.446677712	0.751889108
Acids	Oxomalonic acid	A140023-101	6.413288172			5.054864877							6.185851175	6.62349912																													6.860566301																																															
Acids	Pantothenic acid	A200006-101	10.95603396	7.545180961	7.748979693	9.249550176	10.69737326	5.588800628	6.138682499	6.825048738	5.428648941	4.277027642	8.811856021	10.40072172	5.929345871	5.792452609	8.206090779	7.137453558	6.528224546	8.368688409	5.906403668	5.492183625	4.7336572	4.56554321	5.300925743	5.069401095	4.656274567	5.068667658	5.417157646	6.943382564	5.484662268	3.723974502	3.134927527	2.968242439	2.806053732	2.219034085	4.043401754	3.475217988	2.516329011	2.84452222	2.952732312	5.720353529	5.575280278	2.648589873	4.210489816	4.649180063	4.229026195	5.034069215	4.616991953	3.930667466	3.786629463	3.556262173	3.328758781	3.121591991	3.442198884	3.406775099	1.980082482	2.472483718	3.341508631	2.851130534	4.971511021	5.351379389	4.395417989	4.712317204	4.758372181	7.305563074	6.099878519	5.026467192	5.269237857	4.002316971		8.560033374	9.183747438	4.973651282	4.105542344	8.02702112	5.665574434	4.743311949	5.215616176	4.191990092	5.09038865	6.475849854	4.129647068	3.774560893	4.067980852	4.285288759	3.797064406	3.431090444	3.967449476	3.713162738
