	Code	Citric acid	Glutaric acid, 2-oxo-	Glycolic acid	Isocitric acid	Malic acid	Pyruvic acid	Succinic acid	Vanillic acid	Alanine, 3-cyano-	Asparagine	Aspartic acid	Glutamic acid	Glutamine	Glycine	Isoleucine	Leucine	N-Carboxyglycine	Phenylalanine	Proline	Serine	Threonine	Valine	Hexadecanoic acid	Octadecanoic acid	A112003	A116014	A124002	A137012	A143003	A145016	A147011	A148006	A155004	A159003	A170001	A171003	A174001	A180002	A192014	A203003	A211001	A213001	A214003	A214004	A228001	A237001	A250001	A278005	A311002	Putrescine	Pyridine, 2-hydroxy-	Pyridine, 3-hydroxy-	Quinic acid, 5-caffeoyl-, trans-	Sinapic acid, trans-	Glucose-6-phosphate	Glyceric acid-3-phosphate	Glycerophosphoglycerol	Phosphoenolpyruvic acid	Phosphoric acid	Phosphoric acid monomethyl ester	Ascorbic acid	Dehydroascorbic acid dimer	Erythronic acid	Galactaric acid	Galactonic acid	Gluconic acid	Glyceric acid	Threonic acid	Arabitol	Erythritol	Glycerol	Hydroquinone	Inositol, myo-	Ribitol	4-Hydroxyphenyl-beta-glucopyranoside	Arabinose	Fructose	Glucose	Kestose, 1-	Raffinose	Sucrose
16007gf_30	FNC	3.237885416	3.474044349	8.120676873	12.62902722	9.224566646	5.91531567	6.134672498	2.340271541	0.154824603	1.151689679	1.768229406	3.570469248	0.495183334	3.768883324	0.031967892	0.092937077	0.678651454	0.055524438	0.227939327	0.044077681	0.427998691	0.395058632	7.364336545	6.377166957	3.695601581	9.373088914	1.007486614	0.224515723	6.793108739	2.754134964	2.781383899	5.105980783	0.515737974	3.450180165	0.936672181	0.857323439	6.818862717	0.262858515	7.385880102	1.148253097	5.155802907	3.574075349	5.454747886	4.619007066	1.845776074	2.456998842	4.763356314	2.624358804	0.508661982	2.297821075	8.654029807	1.46044191	2.750246587	2.309921871	1.385042265	3.341369312	1.032232461	2.892061051	7.066746934	3.390138954	1.11106638	25.38006466	3.609811259	2.024251011	3.786181984	1.070080586	4.65862103	4.880397045	0.912790181	0.885605107	0.483678579	0.536187173	2.612202153	7.060758712	0.616518232	1.811647063	10.4496417	7.550864487	2.988159229	1.02192605	24.26592851
16010gf_30	FNC	3.450551758	4.683003631	7.320604551	11.64735263	4.92181898	5.524196578	5.21862118	3.268230453	0.29899268	1.019301623	0.840155136	2.867038137	0.609563789	3.046666468	0.5212595	0.566339277	0.567681594	0.022286379	0.651049771	0.143603767	0.212043323	2.594600012	7.766352257	6.795710754	3.181639588	6.391027893	1.085069936	0.447114312	7.316541172	2.062640887	2.23715954	4.15736261	0.616249468	3.415176304	1.254753929	0.045797607	6.999081905	0.174601456	4.479297053	0.481848022	4.17173257	1.867221066	3.263505963	2.902202298	1.562863475	3.209448186	4.641898549	1.7439439	0.779268964	1.880531911	10.20700929	1.989615569	1.493612298	4.010458394	1.588055651	4.601476231	1.020857334	3.871886157	5.497336966	3.613406014	0.727340519	19.70232485	3.081068403	1.956673674	2.763476652	0.78137874	5.778191721	3.824055088	0.799572692	0.866356931	0.609800356	0.569479958	4.192579959	4.248378057	0.664295005	1.789658886	4.18359458	3.9446275	1.668046652	2.065950019	25.61221069
16013gf_20	FNC	2.883956974	3.026481925	5.645269433	10.71244854	2.650436902	3.577849869	4.577778584	2.269985728	0.258044354	1.534665959	0.841814658	2.319167171	0.510845037	5.222808376	0.277479904	0.262503822	1.457375979	0.04006072	0.365409311	0.036393025	0.220344121	1.007674298	6.575263938	5.52099495	3.44037399	5.230798157	0.896788128	0.13199465	5.635139301	2.094904103	2.139577412	4.266373355	0.740243219	2.49314062	1.020151011	0.022504478	6.116334599	0.498834899	5.085990668	1.71040757	4.422202544	4.533139101	4.346343184	3.379040217	1.774386467	2.58508141	5.065062488	1.886010907	0.776164782	3.027857319	5.618911898	1.291690473	1.324777868	2.483403316	2.018364262	2.509799326	1.191484167	3.243045237	4.371149896	2.962560709	0.924333247	15.6063711	3.385683759	1.059415709	2.614050042	0.73813302	3.966757202	3.798950002	0.899817339	0.83974258	0.56765431	0.316859089	3.626728665	10.24441913	0.575063937	1.673474501	12.9121141	10.6473998	2.18801135	1.421080811	17.60038368
16018gf_15	FNC	2.8225041	5.537849818	7.72999941	8.301198795	3.073880467	5.957116325	5.590112547	2.736202821	0.333546075	1.4687464	1.289878075	4.447982832	0.627164148	4.553764156	0.445699645	0.304055695	1.80046752	0.206881882	0.641429605	0.207508233	0.96523172	1.050796372	7.885608766	6.412209396	3.355245085	8.381914365	2.033903396	0.218031305	7.635047157	3.602349352	3.686619468	6.807608267	0.970370237	4.02436438	1.604823935	0.112754731	8.248363662	0.857601096	5.221806482	1.815832714	6.394199944	5.421263034	6.836855191	5.020155124	2.160209963	3.090835541	4.630107951	2.267704832	0.859688633	2.911736857	6.834578262	1.508977663	1.862525135	3.641827995	2.721193023	8.116986636	1.436985621	9.204954202	3.570260472	3.776059955	1.393424509	17.95850214	4.453670489	1.788934963	2.942152838	0.796082918	5.986192791	5.008983476	1.304286811	0.901579538	0.537406671	0.484305961	4.579438278	9.137307932	0.557138138	2.507412818	14.3245791	11.08111441	2.583050291	1.939855852	19.02027666
16020gf_15	FNC	2.358289161	3.382948164	7.039150597	7.267567755	5.793699202	5.154597183	5.645464852	2.035041124	0.433632619	1.164194623	0.668521423	2.674170281	0.507637526	3.651296509	0.222950647	0.250169139	0.738118747	0.110916648	0.346143706	0.029659135	1.012386009	0.83444643	6.681264756	5.02968599	3.457392335	6.685783416	1.150710579	0.146300652	5.945649364	1.993875901	2.058242034	4.017987744	1.1792377	2.750903973	1.984325157	3.342883912	6.298992057	0.279702411	4.609571816	1.698557835	5.034946649	4.567350484	5.120742504	4.611251441	1.352940662	1.617329749	2.770725202	2.069238096	0.727586511	2.231251321	6.868453574	1.50517415	1.517186795	1.750423292	1.090505833	5.217776889	0.606467654	4.432670582	5.458978933	1.894580592	1.261525352	14.6354407	3.651355786	1.568825316	3.020050501	0.917247703	5.729011516	3.889559768	1.386496887	1.779550257	0.576688367	0.591634176	4.999320691	7.711336304	0.448315238	2.065373914	18.08624142	15.22756226	2.688053036	1.378532331	18.31288195
16007gf_21	FNES	3.738816196	0.588309881	4.189012135	15.93132826	0.359189266	4.160559918	1.892808138	3.080891986	0.243553921	1.406117294	5.806289451	9.996022065	1.177882136	0.867667207	3.936987347	9.996126684	0.6710632	2.150372298	3.861572759	9.082375691	7.631850981	17.89315004	10.88887115	11.05433422	4.65100159	6.702026625	2.753101871	2.760048422	NA	4.955354109	5.340227443	9.429990912	0.767368043	2.91182966	1.385922637	1.064842002	5.57153357	0.056142186	5.155088106	0.211422792	5.678033172	0.35563421	1.324854556	2.46651488	2.207800203	3.902050939	13.72101401	3.229925707	0.434807481	1.11863129	19.96280319	2.688650718	2.114178398	3.419106746	0.70366813	2.002379989	4.439703884	3.098129856	5.992153756	3.759685839	1.080864435	30.66847913	1.742307583	1.678592356	1.637742348	0.266927314	0.428709233	9.345729124	1.072814936	1.222396994	1.06281064	0.944783565	10.29963852	0.983989619	1.443570182	1.985362093	0.817480628	0.148019647	2.4342238	6.091340379	33.72979018
16010gf_21	FNES	1.953908593	0.753315458	1.749053464	7.927638471	0.608440198	1.566005658	1.396306145	2.292977558	0.149739025	0.962483944	5.174328091	4.920287598	0.850896107	1.213457966	5.449062655	12.81197964	0.615463096	1.265613056	2.492526577	11.23678412	14.67389603	16.40180894	8.217038312	6.446367954	2.774147505	4.340793599	0.503935112	0.527200431	8.241723886	1.73716981	1.530835608	3.085323144	1.256219511	2.832446794	1.92526011	0.17571522	5.615560919	NA	1.327592654	0.926939276	4.499238446	6.460139175	5.960502845	5.194606077	1.829247517	3.453634287	7.097847303	1.340373229	0.458029228	5.091759415	6.679974188	1.074493633	2.000578333	2.157640018	0.484648323	0.301303849	0.926931948	0.390305565	2.850604728	2.094101989	0.71876627	12.12060516	1.640200377	1.645008244	1.970881277	0.6376161	0.87801529	3.685576092	0.965975487	1.254236991	2.924789131	0.296195019	4.907590736	4.644147682	0.725861598	2.797847301	13.66348724	6.916189943	2.612576021	1.477333047	23.08727685
16013gf_71	FNES	2.121069546	0.76677442	3.476998102	9.643319512	0.27606988	3.217447054	1.72472792	3.250805586	0.038845264	0.771181159	3.118500077	5.831726499	1.388256647	2.887069749	4.171215474	9.535437095	1.032869103	1.190318567	0.597427358	4.554578792	4.557824726	19.54145988	11.28058994	10.73480456	3.756960349	5.194618282	1.006916286	1.02653242	8.995689266	2.668425978	2.629312147	4.939583155	2.498155963	2.145270956	2.955977861	0.911906314	7.322627396	0.206824532	2.491371826	0.268670903	6.679573489	2.309475321	3.973046216	3.675021989	2.067284112	4.911303148	10.63845311	2.829972722	0.771253831	3.767407053	11.41552261	1.679875729	1.921758337	2.661359321	0.483584326	1.346981815	2.443639669	0.654422948	3.22184529	2.854620738	1.26589081	24.2377841	1.690216545	2.699347822	2.29943053	0.708495669	1.321201493	4.747740652	1.56080994	1.937208147	3.466168239	0.478471591	7.823156459	3.780155878	1.230343318	2.779332356	5.044024891	1.696316051	5.003208202	5.479698807	13.2935383
16018gf_6	FNES	3.544224648	0.323187333	2.300161091	10.38193979	0.120279829	1.507148833	2.084481247	1.314787086	0.024919184	0.622710299	3.902317744	16.90093657	1.158432997	14.76057169	2.199348172	14.74966001	1.70871739	2.409392423	4.662973796	NA	15.63677172	23.98172483	8.908034445	4.824461856	1.590512232	4.45058352	1.443357086	4.316596904	6.228188835	3.468469711	3.613528647	4.794327893	0.958648653	1.916267578	1.30578847	2.479986182	3.19614365	0.078420317	2.129896214	0.3917845	5.897118907	0.338157681	0.967071387	2.097884821	0.972929957	2.10242816	8.947596113	0.961628217	0.223706103	2.056741558	11.06478066	1.233363418	0.07599694	1.046317435	0.497027162	1.823639698	3.086135165	0.430171699	7.105368083	1.335204819	2.400034786	24.07944281	1.515833415	1.705924911	0.997662468	0.250709608	0.379795183	7.112935459	0.84794218	0.950050925	1.233336798	0.352361205	11.95652395	1.094684995	0.910018245	1.312607602	0.494469027	0.114822741	1.287519985	1.550846643	27.60356126
16018gf_51	FNES	2.528216685	1.151938232	5.147881366	10.42134924	0.556269392	6.221333758	2.891971744	3.510697893	0.095704077	1.491868202	2.924016967	12.10887445	1.840021667	2.283831043	1.275703668	3.393435347	0.80973534	1.729608485	5.271310189	6.185581646	3.101271007	15.40891688	NA	11.30727307	4.587270721	8.104236381	2.058866165	1.287293058	10.99732463	4.937039693	5.493447225	7.05604088	1.443467705	2.97164334	2.295392364	8.00445945	6.710068793	0.301473114	4.298105419	0.447063605	7.596412352	0.759304836	2.51272214	3.039091186	2.19200993	4.911234399	15.07631711	2.565168989	0.572932997	3.734329772	18.9954271	1.929824439	2.451846925	2.714137357	0.59392991	3.590934101	4.762700917	4.340775193	6.79223335	3.696092557	2.270159387	25.27096348	2.467983421	2.452191775	2.863816234	0.758432366	0.732761483	8.834364928	1.730218707	2.077943794	1.59710434	0.505267056	17.34772762	1.868403735	1.972840534	3.50808425	0.824047181	0.481798584	3.258092577	3.212732465	35.99100867
