	Code	Benzoic acid, 4-hydroxy-	Citric acid	Glutaric acid, 2-oxo-	Glycolic acid	Isocitric acid	Malic acid	Pyruvic acid	Succinic acid	Vanillic acid	Alanine, 3-cyano-	Asparagine	Aspartic acid	Butanoic acid, 4-amino-	Butyro-1,4-lactam	Glutamic acid	Glutamine	Glycine	Isoleucine	Leucine	N-Carboxyglycine	Phenylalanine	Proline	Serine	Threonine	Tyrosine	Valine	4-Hydroxybenzaldehyde	Hexadecanoic acid	Octadecanoic acid	A112003	A116014	A124002	A143003	A145008	A145016	A147011	A148006	A155004	A157012	A159003	A170001	A171003	A174001	A176001	A180002	A203003	A211001	A213001	A214003	A221004	A228001	A237001	A237002	A250001	A311002	Ornithine	Putrescine	Pyridine, 2-hydroxy-	Pyridine, 3-hydroxy-	Spermidine	Cinnamic acid, 4-hydroxy-, trans-	Ethanolaminephosphate	Glucose-6-phosphate	Glyceric acid-3-phosphate	Glycerol-3-phosphate	Glycerophosphoglycerol	Inositol-phosphate, myo-	Phosphoric acid	Phosphoric acid monomethyl ester	Erythronic acid	Galactaric acid	Galactonic acid	Gluconic acid	Glyceric acid	Threonic acid	Arabitol	Erythritol	Glycerol	Hydroquinone	Inositol, myo-	Ribitol	4-Hydroxyphenyl-beta-glucopyranoside	Arabinose	Fructose	Glucose	Kestose, 1-	Raffinose	Sucrose
15285if_9	FNR60	0.657826538	9.734317703	2.608937453	5.390107961	6.667143539	10.47134434	3.109902351	9.148232087	4.922005684	7.717864071	5.384333547	3.613222683	19.05693159	6.79903802	10.66511635	4.343256013	4.404701112	1.56567782	0.72401229	3.058819015	2.81480397	23.5639267	8.287912855	3.924248073	2.663472276	4.293272326	0.720238798	8.251906375	8.341038527	2.066501809	4.063082195	0.738468951	9.903789559	3.922702456	2.371495001	2.136449606	2.285099335	1.596932191	4.495559277	2.7215368	0.669528162	3.37621122	1.123718026	12.87803412	1.125420952	4.449729771	0.57560783	0.52070321	0.513300226	11.54964228	7.626082475	11.12115488	6.69422943	1.39734256	4.056457168	1.771650524	1.837092616	2.860463626	0.843032531	4.309301367	9.35407206	4.978173303	5.698940372	0.207164631	10.04932152	6.538458195	1.596317716	11.66404119	6.621765313	0.950039237	2.786783689	3.137156796	3.94654641	0.861983653	3.994670803	0.343841494	1.506846389	1.976265372	0.216597875	10.56350781	0.862840912	0.189068372	5.22269921	41.02329797	33.68069478	1.549535518	2.375176096	16.80440191
15294if_24	FNR60	0.449622805	10.4311505	2.336795724	3.873724292	6.721728191	10.46895898	2.546405823	6.928468374	2.341451699	2.918084012	2.22201488	4.824604055	12.83020856	5.861970681	7.891438391	5.928285401	4.321440131	1.186601433	0.738635258	1.372704198	1.889891182	30.01493642	7.314470448	4.505007951	2.383686347	3.895918517	1.149379071	5.156846613	4.901240095	2.283223563	2.643370089	0.896103973	6.724126124	4.299979146	1.351525331	0.941528013	1.436422583	0.380395126	1.809048794	2.223389538	0.463000214	2.741699002	1.035572984	8.196350487	0.549610257	4.298679998	0.343294098	0.626371871	0.492331129	6.201666343	6.085123928	8.138310403	5.629839721	0.447967066	2.423016329	0.873611346	1.352040616	1.381106769	0.631227782	3.310271853	6.38769313	4.687938285	3.483227921	0.114886503	6.140120638	5.545380847	0.805410145	9.087058875	5.72573666	0.649918034	1.876559026	2.500657589	2.584768586	0.433184327	3.266837735	0.360994435	0.595399108	2.246763354	0.27530681	11.17204224	0.341830532	0.271375162	4.388504009	93.9636603	82.51536829	0.964301761	1.974380913	12.13204375
15223if_82	FDC	5.13641685	7.263434744	2.150784638	5.158929266	4.973865461	7.752932992	1.270823774	4.578725413	4.324376417	4.480005394	7.079643405	3.679798205	8.138946905	6.15231794	7.795608451	7.083824718	1.637234871	1.662224335	0.801865207	1.887399021	2.359147241	28.18539851	6.778813591	3.834502727	2.944760138	5.310127771	4.662836545	7.860227264	6.89828835	1.849605673	3.204614737	0.884742783	6.11775989	12.06781604	1.267903543	1.519732769	1.622498272	0.39525102	5.56293235	1.363220221	0.511770145	4.497424465	1.026016688	10.13848612	0.688387911	2.195285069	0.400628976	0.269280377	0.126146864	6.299378413	5.37462452	6.945810151	1.751470247	0.142749502	1.763970862	1.76504643	0.657449181	2.296524951	0.807179321	2.095891662	4.073268178	10.43429419	5.194925635	0.217715978	11.25084808	6.827933788	1.312126768	9.314136158	7.002344065	0.854955508	2.246098304	4.950099317	1.255113234	0.287845313	3.425447829	0.394907596	0.286458754	2.056900027	10.49564304	8.317066479	0.418060004	10.25336777	2.439610315	21.00817853	14.62443548	0.313405521	1.637662332	14.74387123
15261if_6	FDC	4.164892512	9.75730254	2.330340475	2.366138151	7.588285347	11.91345276	1.197435977	2.984705533	2.911208082	4.471394844	7.952891255	4.209491604	6.21032455	5.447589754	10.94571673	9.194484356	3.48990418	1.449037504	1.004271809	2.139164294	1.569312369	14.12807454	8.768430919	4.733524586	2.167047671	3.527848846	1.333347359	5.880607659	5.687742059	1.667022247	2.385302129	0.608417346	5.73736569	20.38152467	1.261823381	1.138860035	2.191425035	0.364667773	6.917221817	1.450116679	0.560817729	6.220542114	1.336872747	10.0828213	1.289061771	1.653419471	0.25783647	0.21397828	0.129754763	5.321308842	4.308436607	4.621996375	1.653803103	0.623406189	1.754260798	1.848298548	0.653316977	3.491021905	0.585524243	1.142521035	3.22301302	8.514847044	4.777377707	0.346093658	6.077645771	5.679626803	0.567241842	10.69296424	2.354302158	0.657076479	1.876329534	3.647581725	0.548012142	0.104346124	3.401107985	0.205136555	0.268089193	1.201051752	18.46895014	12.38407161	0.646507631	10.94666676	2.245474603	39.56990004	28.45600268	0.073673673	1.450130946	18.49491799
15273if_19	FDC	7.207952967	9.370715457	4.262251628	4.835962474	6.222038476	10.44297953	1.783312705	4.965872677	6.888026537	7.415798548	24.85284155	4.333774181	10.73754846	10.87817948	9.64382878	6.382564531	2.963840913	3.127251972	1.339539416	4.042277521	2.870937106	69.97400393	8.751765603	5.449525832	3.159044817	6.833249928	3.502742098	7.838684917	8.645255045	2.030433467	3.200909908	1.52999705	12.00953243	14.71815107	1.765965457	1.956543177	NA	0.680541254	18.75794179	2.767893695	1.296196172	12.28140214	2.060885902	22.19875561	0.476784209	2.837703986	0.585349471	0.531940596	0.582878002	15.9933676	6.758698082	10.63170759	3.614061044	2.194447834	5.535856379	5.033494295	1.4654172	3.478775537	0.850245474	1.784361419	4.602909091	11.83737803	8.299922145	0.327509149	12.45676102	9.01413903	2.53603148	9.199413658	8.523178057	1.278028507	4.045593328	6.12568136	1.150588716	0.76496455	4.717630294	0.825137656	0.643879434	1.6793942	11.96818241	11.21739757	1.650949642	15.15720495	5.216578684	17.4856481	7.151255309	1.243129625	NA	15.5999171
15285if_29	FDC	3.048742722	9.897767085	0.848917692	1.589672137	6.129468406	10.98445309	0.359969496	3.128851116	0.962539586	5.35886223	2.946380975	6.14059899	5.995378754	1.25355714	6.104029832	7.45422243	4.512155921	0.734155958	0.216796309	1.473692478	1.014057473	1.262518885	5.868783054	3.98768119	1.594540261	4.654312627	4.07012466	3.152491141	2.640445116	0.857432847	0.789413714	0.744442897	2.681810398	3.904595074	0.749584948	0.698643488	1.205222743	0.139285325	2.001162521	0.930137954	0.262564991	2.162418193	0.588066099	4.325331511	1.318029206	1.669104286	0.315639484	0.171211476	0.115051304	2.269658487	2.793851325	2.712213276	1.734346882	0.101935399	0.856734398	1.525424726	0.233720615	0.730719231	0.160181541	0.485466744	3.142369411	7.809465598	3.146132969	0.246445432	2.77088011	3.506746317	0.464643379	10.88629691	1.09578547	0.410357936	1.696372985	3.538128293	1.084814369	0.254063994	2.763199558	0.103146425	0.158716468	3.345813872	3.904604917	10.82549972	0.468185593	9.806461854	0.895673381	15.47547956	7.397560207	0.163902975	0.619066382	7.029999554
15297if_21	FDC	3.207252159	8.501700964	2.396522346	5.957072186	5.755660753	9.44051548	1.261128094	3.4715938	2.434000983	3.404918185	6.457302233	5.927651554	11.41997422	5.482084534	10.88194684	7.619944132	4.565418902	1.296938167	0.559623538	2.394629396	1.725237169	2.129319462	9.480393415	5.018141735	1.719309534	3.856742059	3.932247815	5.613878131	5.318913191	2.09939696	2.558620044	0.541340599	5.664734802	6.533020996	1.568105865	1.453861089	2.332710798	0.539622243	4.270790037	1.742892194	0.689205139	6.841338499	1.189899582	11.13130782	0.871837127	2.249075662	0.35087141	0.318676547	0.132229033	6.308703846	4.871642351	5.06030545	1.442717698	0.400267701	2.07335763	2.44110146	0.700286291	2.888604938	0.671388529	0.969270482	3.2045111	8.618235235	4.83155236	0.277254882	6.424657965	8.484565108	0.776308743	10.05466566	4.122007029	0.700662029	2.44294388	4.318805546	0.547042735	0.313427074	3.539498993	0.188089155	0.304960036	1.892050735	11.33105204	9.119085012	0.412924648	10.38163114	2.075128726	2.542718482	1.866149503	0.344875221	2.378676424	18.25828545
15223if_76	FDES	2.168437924	11.61232104	1.340577574	1.69880039	8.005905335	14.57714714	0.663609262	4.304080777	1.760741869	2.218607588	5.899172669	7.784615378	11.56844138	1.034880652	9.831669292	8.293356169	5.859107983	0.755875977	0.032001351	0.968622508	1.464799894	53.31030291	8.836556889	4.037468488	1.389484754	3.149693362	1.903973768	3.501051138	3.33317844	1.37282687	0.586870958	0.882606829	3.133017229	3.131183351	0.87578461	0.772200233	1.193960456	0.265168089	2.890431739	0.594428564	0.339083183	1.993813317	0.412082822	5.13049377	0.085425866	1.854038389	0.345543085	0.190946095	0.12406131	5.175781486	3.400522549	3.244847777	1.731544612	0.136315083	1.416438047	0.396911286	0.328612349	1.056865531	0.188422373	2.038358084	2.914792131	7.76278544	2.414763816	0.152495975	2.930909224	3.490781932	0.712496102	13.8948922	4.082573989	0.46279226	1.956259972	2.879832292	0.706374192	0.289119536	2.417094649	0.115254513	0.187606268	2.981111605	6.419069535	13.12493587	0.338004853	7.895871391	1.764420504	24.11782215	16.89446441	0.540397671	1.280120436	20.28588597
15258if_17	FDES	2.4411411	11.60052498	1.43887259	2.079095419	6.554677834	10.75129737	0.655737285	2.700534776	3.028169738	2.498404187	2.563087689	4.090715164	9.917964052	1.226496809	7.29445318	6.477233447	4.221225317	0.665175644	0.197104029	1.524840819	1.292506859	2.353238332	6.396397329	3.522344997	1.75270388	2.762486813	1.958321251	4.147420278	3.952583424	0.916713732	0.992527141	1.113037946	2.89032118	3.242242285	0.714948171	0.648113784	1.202871588	0.421876887	2.70006655	0.976069736	0.559582874	3.071911672	0.61941489	5.921501011	0.117038617	2.120478408	0.314671402	0.334820737	0.299978088	4.581194019	3.775168948	4.692216467	3.750781674	0.414558538	1.758153375	0.737391956	0.382803686	0.840003914	0.264304785	0.921934613	2.943526703	7.295613299	3.905451622	0.20034002	4.966774865	4.881020274	1.077645822	8.786075777	1.91236296	0.581002616	2.327302433	3.962012134	0.921412505	0.289342098	3.169364198	0.125488616	0.220501234	1.977922672	8.510557507	11.37418922	0.352836216	6.682144191	1.739878477	2.522222489	2.906099516	0.412207093	1.748339474	10.72294297
15267if_30	FDES	4.638017374	10.62939992	1.37592913	3.108775219	6.35394487	11.88480551	0.618022184	2.780450746	2.461822611	1.890164109	1.639444263	5.705984589	15.47440624	2.250134533	7.107301406	9.834924748	5.828165371	0.921375849	0.260842554	1.231250358	1.116272654	13.20927209	7.692301481	4.340476168	1.565290344	3.437028765	1.389927634	3.688500963	3.761279947	1.39987918	1.11284482	0.823359472	3.082721475	2.820636203	1.104751911	0.969507081	1.212984219	0.450590999	1.129234799	1.105784028	0.56441489	2.822153129	0.53805872	6.82951544	0.70190702	2.13620587	0.362780042	0.277701314	0.372568539	4.746549404	3.427789492	4.353130064	1.819744362	0.082823736	1.842024956	0.97576756	0.350415293	1.170080387	0.29274213	1.044850701	2.266881082	6.837835421	3.163166897	0.201348616	6.315971241	5.992320668	0.980942991	10.76946743	3.374700273	0.742924112	2.12513922	5.204533378	1.045928892	0.30240676	2.869341224	0.135150995	0.31001519	2.847809395	14.05543179	10.72573782	0.305294794	7.697577399	1.844537447	28.44257392	17.91846895	0.560892885	1.920807001	10.9563849
