ID	Treatment	Timepoint	Cultivar	Description	Code	Batch	Sequence
15226if_14	Control	FL	N22	Leaf-Control -Flowering-N22	FNC	15226if	14
15258if_28	Control	FL	N22	Leaf-Control -Flowering-N22	FNC	15258if	28
15273if_20	Control	FL	N22	Leaf-Control -Flowering-N22	FNC	15273if	20
15288if_7	Control	FL	N22	Leaf-Control -Flowering-N22	FNC	15288if	7
15297if_30	Control	FL	N22	Leaf-Control -Flowering-N22	FNC	15297if	30
15238if_4	Heat & drought	FL Early stress	N22	Leaf-Heat & Drought-EGF Start of stress-N22	FNES	15238if	4
15261if_13	Heat & drought	FL Early stress	N22	Leaf-Heat & Drought-EGF Start of stress-N22	FNES	15261if	13
15277if_34	Heat & drought	FL Early stress	N22	Leaf-Heat & Drought-EGF Start of stress-N22	FNES	15277if	34
15288if_19	Heat & drought	FL Early stress	N22	Leaf-Heat & Drought-EGF Start of stress-N22	FNES	15288if	19
15300if_15	Heat & drought	FL Early stress	N22	Leaf-Heat & Drought-EGF Start of stress-N22	FNES	15300if	15
15223if_53	Heat & drought	FL Late stress	N22	Leaf-Heat & Drought-FL End of stress-N22	FNLS	15223if	53
15243if_42	Heat & drought	FL Late stress	N22	Leaf-Heat & Drought-FL End of stress-N22	FNLS	15243if	42
15267if_19	Heat & drought	FL Late stress	N22	Leaf-Heat & Drought-FL End of stress-N22	FNLS	15267if	19
15285if_32	Heat & drought	FL Late stress	N22	Leaf-Heat & Drought-FL End of stress-N22	FNLS	15285if	32
15294if_25	Heat & drought	FL Late stress	N22	Leaf-Heat & Drought-FL End of stress-N22	FNLS	15294if	25
15238if_20	Heat & drought	FL 12h Rewatering	N22	Leaf-Heat & Drought-FL 12h Rewatering-N22	FNR12	15238if	20
15264if_7	Heat & drought	FL 12h Rewatering	N22	Leaf-Heat & Drought-FL 12h Rewatering-N22	FNR12	15264if	7
15280if_5	Heat & drought	FL 12h Rewatering	N22	Leaf-Heat & Drought-FL 12h Rewatering-N22	FNR12	15280if	5
15291if_23	Heat & drought	FL 12h Rewatering	N22	Leaf-Heat & Drought-FL 12h Rewatering-N22	FNR12	15291if	23
15300if_27	Heat & drought	FL 12h Rewatering	N22	Leaf-Heat & Drought-FL 12h Rewatering-N22	FNR12	15300if	27
15226if_20	Heat & drought	FL 36h Rewatering	N22	Leaf-Heat & Drought-FL 36h Rewatering-N22	FNR36	15226if	20
